iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,min_distance_redirect,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.9560017096289753,0.20768181007914688,0.8284448852745308,0.14928212308202027,-1.1592260150856664,-1.1592260150856664,False,0.0,pi,0.0,False,False,10,d1e9e071-6830-483b-86ec-1b14c599bdf1,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,-1.1592260150856664,2.8768007148768477,2.8768007148768477,2.8768007148768477,2.8768007148768477,-1.1592260150856664,2.8768007148768477,power_law_practice
2,0.5128046164365648,0.13591960402050662,0.6890364797811311,0.841747724312279,0.6566600450945725,0.6566600450945725,False,0.0,pi,0.0,False,False,10,d1e9e071-6830-483b-86ec-1b14c599bdf1,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,0.6566600450945725,1.060914654696609,3.937715369573457,1.060914654696609,1.9688576847867285,0.6566600450945725,1.060914654696609,power_law_practice
3,0.4255089974049766,0.9569260034533662,0.8253329063847983,0.338215312471576,0.017114334625829033,0.017114334625829033,False,0.0,pi,0.0,False,False,10,d1e9e071-6830-483b-86ec-1b14c599bdf1,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,0.6566600450945725,1.7004603651653525,5.63817573473881,1.060914654696609,1.8793919115796032,0.6566600450945725,1.060914654696609,power_law_practice
4,0.5757605479445136,0.7533018647084769,0.8271039370247955,0.9334384708515814,1.1461725881202751,1.1461725881202751,False,0.0,pi,0.0,False,False,10,d1e9e071-6830-483b-86ec-1b14c599bdf1,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.1461725881202751,0.5714021116709065,6.209577846409716,0.5714021116709065,1.552394461602429,1.1461725881202751,0.5714021116709065,power_law_practice
5,0.1449946949362273,0.7455802110439375,0.13935139386782236,0.9065287561129268,0.6258885157200674,0.6258885157200674,False,0.0,pi,0.0,False,False,10,d1e9e071-6830-483b-86ec-1b14c599bdf1,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.1461725881202751,1.091686184071114,7.30126403048083,0.5714021116709065,1.460252806096166,1.1461725881202751,0.5714021116709065,power_law_practice
6,0.5750405375646431,0.9121272328667203,0.8708780608558987,0.9642986803921423,1.2970541214316715,1.2970541214316715,False,0.0,pi,0.247338600049261,False,False,10,d1e9e071-6830-483b-86ec-1b14c599bdf1,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.2970541214316715,0.42052057835951007,7.72178460884034,0.42052057835951007,1.2869641014733901,1.2970541214316715,0.42052057835951007,power_law_practice
7,0.5698595775426093,1.0,0.9163466759388379,1.0,1.4093724489744617,1.4093724489744617,False,0.0,pi,0.2964804000221193,False,False,10,d1e9e071-6830-483b-86ec-1b14c599bdf1,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.4093724489744617,0.3082022508167199,8.029986859657061,0.3082022508167199,1.1471409799510088,1.4093724489744617,0.3082022508167199,power_law_practice
8,0.2999172908275729,0.9891128664955836,0.9468511029269939,0.9777204939757201,1.2369413615861626,1.2369413615861626,False,0.0,pi,0.2667244999902323,False,True,10,d1e9e071-6830-483b-86ec-1b14c599bdf1,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.4093724489744617,0.48063333820501897,8.51062019786208,0.3082022508167199,1.06382752473276,1.4093724489744617,0.3082022508167199,power_law_practice
9,0.7239877507496975,0.9763335091655145,0.6178557478482128,0.9984397933836924,1.3060862599369623,1.3060862599369623,False,0.0,pi,0.3131174999871291,False,True,10,d1e9e071-6830-483b-86ec-1b14c599bdf1,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.4093724489744617,0.41148843985421935,8.922108637716299,0.3082022508167199,0.9913454041906999,1.4093724489744617,0.3082022508167199,power_law_practice
10,0.6300382246901021,1.0,1.0,1.0,1.496610806397378,1.496610806397378,False,0.0,pi,0.2970384999644011,False,False,10,d1e9e071-6830-483b-86ec-1b14c599bdf1,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.496610806397378,0.22096389339380362,9.143072531110104,0.22096389339380362,0.9143072531110104,1.496610806397378,0.22096389339380362,power_law_practice
