iteration,x0,x1,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,missing,imputed_value,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,3.269722766055607,9.872768433379255,-1.587991309213067,-1.587991309213067,-1.587991309213067,0.0,False,True,0.0,logei,0.0,False,False,,8,183ced28-fe60-40b4-8263-c767fa861574,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,-1.587991309213067,2.8380467751131357,2.8380467751131357,2.8380467751131357,2.8380467751131357,-1.587991309213067,2.8380467751131357,branin
2,3.1871083848551676,7.88548935820029,-0.2758751336528205,,-0.2758751336528205,0.0,False,True,,logei,0.0,False,True,-1.587991309213067,8,183ced28-fe60-40b4-8263-c767fa861574,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,-0.2758751336528205,1.5259305995528891,4.363977374666025,1.5259305995528891,2.1819886873330123,-1.587991309213067,2.8380467751131357,branin
3,8.69896511696216,3.9108480653919395,0.9466005748160842,0.9466005748160842,0.9466005748160842,0.0,False,True,0.0,logei,0.0,False,False,,8,183ced28-fe60-40b4-8263-c767fa861574,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,0.9466005748160842,0.3034548910839845,4.667432265750009,0.3034548910839845,1.5558107552500031,0.9466005748160842,0.3034548910839845,branin
4,4.378818731227988,3.7274890308935307,0.7051912849198183,0.7051912849198183,0.7051912849198183,0.0,False,True,0.0,logei,0.0,False,False,,8,183ced28-fe60-40b4-8263-c767fa861574,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,0.9466005748160842,0.5448641809802504,5.21229644673026,0.3034548910839845,1.303074111682565,0.9466005748160842,0.3034548910839845,branin
5,1.0695359647277436,4.789654541627169,0.5640184516399775,0.5640184516399775,0.5640184516399775,0.0,False,True,0.0,logei,0.0,False,False,,8,183ced28-fe60-40b4-8263-c767fa861574,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,0.9466005748160842,0.6860370142600911,5.898333460990351,0.3034548910839845,1.17966669219807,0.9466005748160842,0.3034548910839845,branin
6,10.0,4.391768484844456,1.0837918092650547,1.0837918092650547,1.0837918092650547,0.0,False,True,0.0,logei,0.17824510001810268,False,False,,8,183ced28-fe60-40b4-8263-c767fa861574,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.0837918092650547,0.16626365663501397,6.064597117625365,0.16626365663501397,1.010766186270894,1.0837918092650547,0.16626365663501397,branin
7,10.0,0.0,0.7445238005749768,0.7445238005749768,0.7445238005749768,0.0,False,True,0.0,logei,0.1420961000258103,False,False,,8,183ced28-fe60-40b4-8263-c767fa861574,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.0837918092650547,0.5055316653250919,6.570128782950457,0.16626365663501397,0.9385898261357796,1.0837918092650547,0.16626365663501397,branin
8,0.0,0.0,-1.3919476339504895,,-1.3919476339504895,0.0,False,True,,logei,0.15686109999660403,False,True,0.5640184516399775,8,183ced28-fe60-40b4-8263-c767fa861574,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.0837918092650547,2.642003099850558,9.212131882801014,0.16626365663501397,1.1515164853501267,1.0837918092650547,0.16626365663501397,branin
9,10.0,4.523530125290885,1.0654453927593528,1.0654453927593528,1.0654453927593528,0.0,False,True,0.0,logei,0.20644239999819547,False,False,,8,183ced28-fe60-40b4-8263-c767fa861574,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.0837918092650547,0.18461007314071587,9.39674195594173,0.16626365663501397,1.044082439549081,1.0837918092650547,0.16626365663501397,branin
10,10.0,1.5137247804514276,1.0699600199619173,1.0699600199619173,1.0699600199619173,0.0,False,True,0.0,logei,0.2621993999928236,False,False,,8,183ced28-fe60-40b4-8263-c767fa861574,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.0837918092650547,0.1800954459381514,9.576837401879882,0.16626365663501397,0.9576837401879882,1.0837918092650547,0.16626365663501397,branin
