iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.8702492039700847,0.28681720908755537,0.6031481500515619,0.7775340829201788,0.9624856367606308,0.9624856367606308,False,0.0,ts,0.0,False,9,8f8b6eff-01fb-438e-83df-38f57c3e0ecc,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,0.9624856367606308,1.190819645959985,1.190819645959985,1.190819645959985,1.190819645959985,0.9624856367606308,1.190819645959985,weber_fechner
2,0.7160746296035653,0.9153801204905075,0.8603936491828846,0.9182376290487624,1.7860500129827057,1.7860500129827057,False,0.0,ts,0.0,False,9,8f8b6eff-01fb-438e-83df-38f57c3e0ecc,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,1.7860500129827057,0.3672552697379101,1.558074915697895,0.3672552697379101,0.7790374578489475,1.7860500129827057,0.3672552697379101,weber_fechner
3,0.026587734467597213,0.4372480001295087,0.48494432697728806,0.06515419737010752,-2.047890862924496,-2.047890862924496,False,0.0,ts,0.0,False,9,8f8b6eff-01fb-438e-83df-38f57c3e0ecc,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,1.7860500129827057,4.2011961456451115,5.759271061343006,0.3672552697379101,1.9197570204476688,1.7860500129827057,0.3672552697379101,weber_fechner
4,0.005626050679392924,0.830621436971257,0.9833022442861755,0.7846098526726796,-0.4478073204329629,-0.4478073204329629,False,0.0,ts,0.0,False,9,8f8b6eff-01fb-438e-83df-38f57c3e0ecc,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,1.7860500129827057,2.6011126031535787,8.360383664496585,0.3672552697379101,2.090095916124146,1.7860500129827057,0.3672552697379101,weber_fechner
5,0.31560348997827314,0.7053337045894538,0.2991810731982467,0.7407484828757487,0.48423189886875717,0.48423189886875717,False,0.0,ts,0.0,False,9,8f8b6eff-01fb-438e-83df-38f57c3e0ecc,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,1.7860500129827057,1.6690733838518588,10.029457048348444,0.3672552697379101,2.005891409669689,1.7860500129827057,0.3672552697379101,weber_fechner
6,0.7482959729157477,1.0,0.1588257659228649,1.0,0.9819663324835468,0.9819663324835468,False,0.0,ts,0.36591600003885105,False,9,8f8b6eff-01fb-438e-83df-38f57c3e0ecc,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,1.7860500129827057,1.171338950237069,11.200795998585512,0.3672552697379101,1.8667993330975854,1.7860500129827057,0.3672552697379101,weber_fechner
7,0.6236098747830142,1.0,1.0,0.7187970074923667,1.7059932458880602,1.7059932458880602,False,0.0,ts,0.38336039998102933,False,9,8f8b6eff-01fb-438e-83df-38f57c3e0ecc,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,1.7860500129827057,0.4473120368325556,11.648108035418067,0.3672552697379101,1.6640154336311526,1.7860500129827057,0.3672552697379101,weber_fechner
8,0.5711752679149203,0.9848627961111278,1.0,1.0,1.8328803624215058,1.8328803624215058,False,0.0,ts,0.4289068999933079,False,9,8f8b6eff-01fb-438e-83df-38f57c3e0ecc,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,1.8328803624215058,0.32042492029911007,11.968532955717178,0.32042492029911007,1.4960666194646473,1.8328803624215058,0.32042492029911007,weber_fechner
9,1.0,1.0,1.0,0.9469140854974937,2.122833667964932,2.122833667964932,False,0.0,ts,0.434885100054089,False,9,8f8b6eff-01fb-438e-83df-38f57c3e0ecc,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,2.122833667964932,0.03047161475568405,11.999004570472863,0.03047161475568405,1.3332227300525403,2.122833667964932,0.03047161475568405,weber_fechner
10,0.8068479269990398,1.0,1.0,1.0,2.033515649687028,2.033515649687028,False,0.0,ts,0.409633599978406,False,9,8f8b6eff-01fb-438e-83df-38f57c3e0ecc,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,2.122833667964932,0.1197896330335877,12.11879420350645,0.03047161475568405,1.211879420350645,2.122833667964932,0.03047161475568405,weber_fechner
