iteration,verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume,objective_true,objective_observed,objective_true_Trust,objective_observed_Trust,objective_true_Understanding,objective_observed_Understanding,objective_true_PerceivedSafety,objective_observed_PerceivedSafety,objective_true_Aesthetics,objective_observed_Aesthetics,objective_true_Acceptance,objective_observed_Acceptance,error_applied,error_magnitude_l2,error_magnitude_Trust,error_magnitude_Understanding,error_magnitude_PerceivedSafety,error_magnitude_Aesthetics,error_magnitude_Acceptance,acquisition,fit_time_sec,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,dataset
1,0.6634861383027804,0.9936384216689628,0.6593554192427584,0.8942744679100145,0.934948255848108,0.6955424032695969,0.7189409365613995,0.6863744515446766,0.5534767982363872,2396.229984916429,2396.229984916429,4.410749999999998,4.410749999999998,3.63215443121693,3.63215443121693,2.1538333333333326,2.1538333333333326,6.468450854700856,6.468450854700856,6.339249999999997,6.339249999999997,False,0.0,0.0,0.0,0.0,0.0,0.0,qnehvi,0.0,8,9c8b4c0b-944e-4a73-a727-631b53af204b,gaussian,1.0,20,extra_trees,multi_objective,5402.7043954898645,2396.229984916429,3006.4744105734353,6012.948821146871,3006.4744105734353,6012.948821146871,ehmi
2,0.7394827270813584,0.6206760725423411,0.6285726242755649,0.5923657784172074,0.5969322744521554,0.9069138350775106,0.7114920940721132,0.627960252579113,0.7954514258827058,2396.229984916429,2396.229984916429,3.7780972222222218,3.7780972222222218,3.533673611111111,3.533673611111111,1.6396077626641643,1.6396077626641643,6.432057807807805,6.432057807807805,6.043855158730157,6.043855158730157,False,0.0,0.0,0.0,0.0,0.0,0.0,qnehvi,0.0,8,9c8b4c0b-944e-4a73-a727-631b53af204b,gaussian,1.0,20,extra_trees,multi_objective,5402.7043954898645,2396.229984916429,3006.4744105734353,12025.897642293741,3006.4744105734353,6012.948821146871,ehmi
3,0.802136148029228,0.8234290135300939,0.955678190224262,0.5751030559809842,0.6856935642211981,0.6423103187554062,0.5083910261622253,0.5907769686813648,0.6973342906493014,2396.229984916429,2396.229984916429,3.5525892857142853,3.5525892857142853,3.47970486111111,3.47970486111111,1.0337767094017098,1.0337767094017098,6.2751388888888915,6.2751388888888915,6.254228942652328,6.254228942652328,False,0.0,0.0,0.0,0.0,0.0,0.0,qnehvi,0.0,8,9c8b4c0b-944e-4a73-a727-631b53af204b,gaussian,1.0,20,extra_trees,multi_objective,5402.7043954898645,2396.229984916429,3006.4744105734353,18038.846463440612,3006.4744105734353,6012.948821146871,ehmi
4,0.6966553550431621,0.8083639722035005,0.7261332644135732,0.8036653337857375,0.6115299927066864,0.5669935658996895,0.664644688355877,0.5480542167640735,0.682919957333898,2396.229984916429,2396.229984916429,3.474888888888889,3.474888888888889,3.2462777777777756,3.2462777777777756,1.7208263888888882,1.7208263888888882,6.424472222222223,6.424472222222223,6.169395609318994,6.169395609318994,False,0.0,0.0,0.0,0.0,0.0,0.0,qnehvi,0.0,8,9c8b4c0b-944e-4a73-a727-631b53af204b,gaussian,1.0,20,extra_trees,multi_objective,5402.7043954898645,2396.229984916429,3006.4744105734353,24051.795284587482,3006.4744105734353,6012.948821146871,ehmi
5,0.7300896537449789,0.8594943219447571,0.9335124346677064,0.525917826258337,0.9780479553329497,0.860050712607684,0.9943867993365771,0.559388554649145,0.6875108778491498,2396.229984916429,2396.229984916429,2.7387222222222225,2.7387222222222225,3.1331909722222226,3.1331909722222226,0.1942708333333334,0.1942708333333334,5.500138888888889,5.500138888888889,5.08076388888889,5.08076388888889,False,0.0,0.0,0.0,0.0,0.0,0.0,qnehvi,0.0,8,9c8b4c0b-944e-4a73-a727-631b53af204b,gaussian,1.0,20,extra_trees,multi_objective,5402.7043954898645,2396.229984916429,3006.4744105734353,30064.744105734353,3006.4744105734353,6012.948821146871,ehmi
6,0.7511270059525406,0.8736117310092393,0.6555154749116308,0.7249521380422994,0.6380796763003233,0.7245825813505367,0.7549870039506855,0.7825139698822623,0.8520953575460202,2687.2966835388343,2687.2966835388343,4.068336134211132,4.068336134211132,3.7458829299947713,3.7458829299947713,2.412791666666667,2.412791666666667,6.642388888888886,6.642388888888886,6.436079633204631,6.436079633204631,False,0.0,0.0,0.0,0.0,0.0,0.0,qnehvi,0.7386897999094799,8,9c8b4c0b-944e-4a73-a727-631b53af204b,gaussian,1.0,20,extra_trees,multi_objective,5402.7043954898645,2687.2966835388343,2715.4077119510303,35495.55952963642,2715.4077119510303,5915.926588272737,ehmi
7,0.6209099932894064,0.8152452408927157,0.5450730893306578,0.8055209822161211,0.7295187971907146,0.5674271107870572,0.6283473789667243,0.53243661018961,0.6861609813039269,2687.2966835388343,2687.2966835388343,3.7735,3.7735,3.250701388888887,3.250701388888887,1.9318124999999995,1.9318124999999995,6.315027777777776,6.315027777777776,6.1297289426523305,6.1297289426523305,False,0.0,0.0,0.0,0.0,0.0,0.0,qnehvi,1.0789778999751434,8,9c8b4c0b-944e-4a73-a727-631b53af204b,gaussian,1.0,20,extra_trees,multi_objective,5402.7043954898645,2687.2966835388343,2715.4077119510303,40926.374953538485,2715.4077119510303,5846.62499336264,ehmi
8,0.7018898409210899,0.744391199255189,0.5349286982902826,0.8578414849306482,0.659466803564552,0.6409018112867205,0.9456827101913217,0.800556166840056,0.8293366768275611,3099.1805862106357,3099.1805862106357,4.393055555555555,4.393055555555555,4.091125,4.091125,2.4954375000000004,2.4954375000000004,6.415694444444445,6.415694444444445,6.571208333333332,6.571208333333332,False,0.0,0.0,0.0,0.0,0.0,0.0,qnehvi,0.9921435000142083,8,9c8b4c0b-944e-4a73-a727-631b53af204b,gaussian,1.0,20,extra_trees,multi_objective,5402.7043954898645,3099.1805862106357,2303.5238092792288,45533.42257209694,2303.5238092792288,5691.677821512118,ehmi
9,0.7657112207443539,0.6080985324969765,0.5754321471168811,0.5920732894287102,0.6703421602175967,0.5850294093238869,0.7388916226767963,0.9836843484997222,0.8697875733281802,3100.0049397829453,3100.0049397829453,4.261524667524665,4.261524667524665,4.09173611111111,4.09173611111111,2.0492097925786945,2.0492097925786945,6.424027777777777,6.424027777777777,6.415367063492059,6.415367063492059,False,0.0,0.0,0.0,0.0,0.0,0.0,qnehvi,1.418842799961567,8,9c8b4c0b-944e-4a73-a727-631b53af204b,gaussian,1.0,20,extra_trees,multi_objective,5402.7043954898645,3100.0049397829453,2302.6994557069193,50138.82148351078,2302.6994557069193,5570.980164834531,ehmi
10,0.6554712953420496,0.653228334146203,0.8910568431082112,0.9872439897435854,0.8072343035364622,0.6283236252574033,0.7247025046734838,0.5788460009397922,0.717103447132448,3100.9351317034398,3100.9351317034398,4.133618055555554,4.133618055555554,3.2609930555555535,3.2609930555555535,1.792889076576577,1.792889076576577,6.589388888888889,6.589388888888889,6.463569444444443,6.463569444444443,False,0.0,0.0,0.0,0.0,0.0,0.0,qnehvi,1.6895741999614984,8,9c8b4c0b-944e-4a73-a727-631b53af204b,gaussian,1.0,20,extra_trees,multi_objective,5402.7043954898645,3100.9351317034398,2301.7692637864247,54742.36001108363,2301.7692637864247,5474.236001108363,ehmi
