iteration,Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,dataset
1,0.36509219017515787,0.7226413318230226,0.19855653809432422,0.824297616129625,0.666858279440203,0.5542300880633371,0.5223857323213361,0.37902539335116114,0.22879953412888432,0.5843786731366364,0.7706664554061522,0.18389623904646704,0.32601593695745323,0.5304993650657371,0.5595268601684308,0.42857971881723583,1.005977096560845,1.005977096560845,False,0.0,qpi,0.0,8,44f8fcaf-367e-4eae-9e6d-451eb0e58653,gaussian,5.0,40,extra_trees,composite,2.6855111574074058,1.005977096560845,1.6795340608465608,1.6795340608465608,1.6795340608465608,1.6795340608465608,opticarvis
2,0.3204711637354342,0.5419953835385674,0.3049369565758465,0.8100288262293754,0.698641205765623,0.3778894816501064,0.4925966230039148,0.31966106683615103,0.1722263884029393,0.34713803290573036,0.7874320674725945,0.2812743411324938,0.5689348528433962,0.6809950336002811,0.43245169516524407,0.3288575883976547,0.9113204607583761,0.9113204607583761,False,0.0,qpi,0.0,8,44f8fcaf-367e-4eae-9e6d-451eb0e58653,gaussian,5.0,40,extra_trees,composite,2.6855111574074058,1.005977096560845,1.7741906966490295,3.45372475749559,1.6795340608465608,1.726862378747795,opticarvis
3,0.24389612323046017,0.42276603123527967,0.115630301494941,0.7817292801329625,0.35277113668195004,0.794279386010038,0.714638333461873,0.16285412452014603,0.7615468918085403,0.7767291670608666,0.8523992327289722,0.08494290214514157,0.4330193521282998,0.7101081993988541,0.5185396272644887,0.3727374782068409,1.0601805555555532,1.0601805555555532,False,0.0,qpi,0.0,8,44f8fcaf-367e-4eae-9e6d-451eb0e58653,gaussian,5.0,40,extra_trees,composite,2.6855111574074058,1.0601805555555532,1.6253306018518525,5.079055359347443,1.6253306018518525,1.6930184531158143,opticarvis
4,0.4422943751074243,0.3985522235889949,0.24715478283199288,0.7962441075965843,0.4331475694876642,0.7834462330722645,0.4345515884456026,0.5526434162835666,0.21825464986295176,0.6897340951221218,0.7944710120834687,0.09644037487275456,0.3664820688454707,0.4553736395301218,0.2878308552169507,0.4190005170200699,0.9127093496472641,0.9127093496472641,False,0.0,qpi,0.0,8,44f8fcaf-367e-4eae-9e6d-451eb0e58653,gaussian,5.0,40,extra_trees,composite,2.6855111574074058,1.0601805555555532,1.7728018077601417,6.8518571671075845,1.6253306018518525,1.7129642917768961,opticarvis
5,0.46671011722545686,0.30453088699641045,0.34644085630792876,0.7770056443462762,0.216029236078794,0.9204716395495516,0.5955116621500119,0.5716277591254438,0.49510902291516923,0.374772328535108,0.7607713375599753,0.13169157694321507,0.4137108282878871,0.5166346907664907,0.35273015030933536,0.7001185432763404,0.8537348126102275,0.8537348126102275,False,0.0,qpi,0.0,8,44f8fcaf-367e-4eae-9e6d-451eb0e58653,gaussian,5.0,40,extra_trees,composite,2.6855111574074058,1.0601805555555532,1.8317763447971782,8.683633511904763,1.6253306018518525,1.7367267023809525,opticarvis
6,0.25077751044342206,0.5733394153658853,0.1008114198071945,0.7984366460913606,0.4740435667947129,0.7081178376398231,0.6903465751242185,0.16708640040966308,0.6535213861924717,0.7685843492824618,0.8336752897813916,0.10909792810868882,0.37674220002135356,0.674886923470204,0.5936966180513674,0.37246256721414267,0.8571574074074058,0.8571574074074058,False,0.0,qpi,0.8331929000560194,8,44f8fcaf-367e-4eae-9e6d-451eb0e58653,gaussian,5.0,40,extra_trees,composite,2.6855111574074058,1.0601805555555532,1.82835375,10.511987261904762,1.6253306018518525,1.7519978769841271,opticarvis
7,0.19918359909440767,0.4076986143281615,0.08156943421064712,0.7774473317640294,0.33012352825173397,0.8023806172294946,0.7632745199015243,0.1279369662064375,0.7890920832247744,0.8280023817853953,0.8536268733798772,0.07358433249912012,0.4523783390013296,0.7633541367400809,0.5468009642805108,0.33825134529416445,1.0648055555555536,1.0648055555555536,False,0.0,qpi,1.1201009000651538,8,44f8fcaf-367e-4eae-9e6d-451eb0e58653,gaussian,5.0,40,extra_trees,composite,2.6855111574074058,1.0648055555555536,1.6207056018518522,12.132692863756615,1.6207056018518522,1.7332418376795165,opticarvis
8,0.25997032292109423,0.39562142944731654,0.09505039031317647,0.7688278907328814,0.4458042565704169,0.8195082165620011,0.7063453515286527,0.1279369662064375,0.7890920832247744,0.744557135839891,0.8536268733798772,0.0896746654135527,0.4135978952574358,0.7126090583562101,0.4645189927354141,0.3454401867333245,1.14172222222222,1.14172222222222,False,0.0,qpi,1.0760568999685347,8,44f8fcaf-367e-4eae-9e6d-451eb0e58653,gaussian,5.0,40,extra_trees,composite,2.6855111574074058,1.14172222222222,1.5437889351851857,13.6764817989418,1.5437889351851857,1.709560224867725,opticarvis
9,0.28422027977769276,0.37659171162108274,0.09721770029249403,0.7624839289117945,0.4944124577357892,0.8359893644477278,0.6860347879990882,0.1279369662064375,0.7890920832247744,0.7091262368542176,0.8536268733798772,0.094233139238432,0.39922629736182697,0.696520282659921,0.42098955338273963,0.34216858544813433,1.2158333333333315,1.2158333333333315,False,0.0,qpi,1.2796580999856815,8,44f8fcaf-367e-4eae-9e6d-451eb0e58653,gaussian,5.0,40,extra_trees,composite,2.6855111574074058,1.2158333333333315,1.4696778240740742,15.146159623015874,1.4696778240740742,1.6829066247795417,opticarvis
10,0.3136316260290752,0.34501473453974385,0.0957704422333173,0.752517262016206,0.5603837053107179,0.8625371881502089,0.6632034284076723,0.1279369662064375,0.7890920832247744,0.6649568252950272,0.8536268733798772,0.09872474606343244,0.38122576553021265,0.6802196850077801,0.36027191485661053,0.3329543354847182,1.2937499999999984,1.2937499999999984,False,0.0,qpi,1.298761900048703,8,44f8fcaf-367e-4eae-9e6d-451eb0e58653,gaussian,5.0,40,extra_trees,composite,2.6855111574074058,1.2937499999999984,1.3917611574074074,16.53792078042328,1.3917611574074074,1.653792078042328,opticarvis
