iteration,verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume,objective_true,objective_observed,objective_true_Trust,objective_observed_Trust,objective_true_Understanding,objective_observed_Understanding,objective_true_PerceivedSafety,objective_observed_PerceivedSafety,objective_true_Aesthetics,objective_observed_Aesthetics,objective_true_Acceptance,objective_observed_Acceptance,error_applied,error_magnitude_l2,error_magnitude_Trust,error_magnitude_Understanding,error_magnitude_PerceivedSafety,error_magnitude_Aesthetics,error_magnitude_Acceptance,acquisition,fit_time_sec,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,dataset
1,0.9351246019850423,0.6434086045437777,0.8015740750257809,0.8887670414600894,0.8580373148017826,0.9576900602452538,0.9301968245914423,0.9591188145243812,0.5132938672337986,3635.1722897786676,3635.1722897786676,4.811111111111111,4.811111111111111,3.929215277777778,3.929215277777778,2.7620138888888883,2.7620138888888883,6.768888888888889,6.768888888888889,6.799236111111111,6.799236111111111,False,0.0,0.0,0.0,0.0,0.0,0.0,qehvi,0.0,9,1e70adc1-4bb4-40cb-84e0-995cc5398d43,gaussian,5.0,20,extra_trees,multi_objective,5399.133164221594,3635.1722897786676,1763.960874442926,3527.921748885852,1763.960874442926,3527.921748885852,ehmi
2,0.7186240000647544,0.742472163488644,0.5325770986850538,0.5028130253396965,0.9153107184856285,0.9916511221430877,0.8923049263363398,0.6578017449891366,0.8526668522947269,3635.1722897786676,3635.1722897786676,4.099474206349208,4.099474206349208,3.590995370370368,3.590995370370368,1.5437500000000002,1.5437500000000002,6.375611111111112,6.375611111111112,6.128541666666665,6.128541666666665,False,0.0,0.0,0.0,0.0,0.0,0.0,qehvi,0.0,9,1e70adc1-4bb4-40cb-84e0-995cc5398d43,gaussian,5.0,20,extra_trees,multi_objective,5399.133164221594,3635.1722897786676,1763.960874442926,7055.843497771704,1763.960874442926,3527.921748885852,ehmi
3,0.6495905365991234,0.8703742414378743,0.6398736098741435,0.8912954576640657,0.9938703734472883,0.9931192746401192,0.9414312834983378,0.956405025891959,0.8541034570515862,3635.1722897786676,3635.1722897786676,4.57326388888889,4.57326388888889,3.8909374999999993,3.8909374999999993,2.3949305555555553,2.3949305555555553,6.308194444444445,6.308194444444445,6.247277777777775,6.247277777777775,False,0.0,0.0,0.0,0.0,0.0,0.0,qehvi,0.0,9,1e70adc1-4bb4-40cb-84e0-995cc5398d43,gaussian,5.0,20,extra_trees,multi_objective,5399.133164221594,3635.1722897786676,1763.960874442926,10583.765246657556,1763.960874442926,3527.921748885852,ehmi
4,0.7772484386317544,0.9616191040351103,0.5448653899271563,0.6850657725700038,0.8029694717546314,0.7388649484593428,0.8964289402486141,0.5975431967395233,0.5311267487083318,3635.1722897786676,3635.1722897786676,4.347823412698412,4.347823412698412,3.753923611111112,3.753923611111112,2.0811805555555556,2.0811805555555556,6.578194444444444,6.578194444444444,6.296083333333334,6.296083333333334,False,0.0,0.0,0.0,0.0,0.0,0.0,qehvi,0.0,9,1e70adc1-4bb4-40cb-84e0-995cc5398d43,gaussian,5.0,20,extra_trees,multi_objective,5399.133164221594,3635.1722897786676,1763.960874442926,14111.686995543409,1763.960874442926,3527.921748885852,ehmi
5,0.5632592036199591,0.9813907924585814,0.5663872686147152,0.6130491636815857,0.6885281854781093,0.811710820670398,0.8910480653346513,0.5393244468846405,0.9656187265715176,3635.1722897786676,3635.1722897786676,4.2993135964912295,4.2993135964912295,3.6112847222222215,3.6112847222222215,2.363826388888889,2.363826388888889,6.510416666666666,6.510416666666666,6.300041666666666,6.300041666666666,False,0.0,0.0,0.0,0.0,0.0,0.0,qehvi,0.0,9,1e70adc1-4bb4-40cb-84e0-995cc5398d43,gaussian,5.0,20,extra_trees,multi_objective,5399.133164221594,3635.1722897786676,1763.960874442926,17639.60874442926,1763.960874442926,3527.921748885852,ehmi
6,1.0,0.6539811278372627,0.86460952044733,1.0,0.8741740690733392,0.7856047794985057,0.9659674544235057,1.0,0.5,3945.62952842605,3945.62952842605,4.857944444444443,4.857944444444443,3.9929374999999983,3.9929374999999983,2.8890833333333332,2.8890833333333332,6.92111111111111,6.92111111111111,6.854097222222221,6.854097222222221,False,0.0,0.0,0.0,0.0,0.0,0.0,qehvi,3.2957581999944523,9,1e70adc1-4bb4-40cb-84e0-995cc5398d43,gaussian,5.0,20,extra_trees,multi_objective,5399.133164221594,3945.62952842605,1453.5036357955437,20546.616016020347,1453.5036357955437,3424.436002670058,ehmi
7,1.0,0.671081636008669,0.9099414247918156,1.0,0.7591720891965256,0.5794008717550088,0.7689143380600417,1.0,0.5,4074.942649332591,4074.942649332591,4.467916666666667,4.467916666666667,4.127972222222222,4.127972222222222,2.5022569444444445,2.5022569444444445,6.849999999999999,6.849999999999999,6.690277777777778,6.690277777777778,False,0.0,0.0,0.0,0.0,0.0,0.0,qehvi,2.692193099996075,9,1e70adc1-4bb4-40cb-84e0-995cc5398d43,gaussian,5.0,20,extra_trees,multi_objective,5399.133164221594,4074.942649332591,1324.1905148890028,23194.997045798355,1324.1905148890028,3313.571006542622,ehmi
8,1.0,0.5,0.9181720425279999,1.0,0.9784669800743476,1.0,1.0,1.0,0.5,4371.801268493667,4371.801268493667,4.681208333333336,4.681208333333336,4.415812499999999,4.415812499999999,2.705756944444445,2.705756944444445,6.535416666666666,6.535416666666666,6.68736111111111,6.68736111111111,False,0.0,0.0,0.0,0.0,0.0,0.0,qehvi,4.595242799958214,9,1e70adc1-4bb4-40cb-84e0-995cc5398d43,gaussian,5.0,20,extra_trees,multi_objective,5399.133164221594,4371.801268493667,1027.331895727927,25249.660837254207,1027.331895727927,3156.207604656776,ehmi
9,1.0,0.5,0.8013707144790194,1.0,0.8444187523762393,0.5974904737967932,0.9674903087734247,1.0,0.5,4556.400146963849,4556.400146963849,4.901875,4.901875,4.387208333333332,4.387208333333332,2.8177638888888885,2.8177638888888885,6.972222222222223,6.972222222222223,6.926111111111112,6.926111111111112,False,0.0,0.0,0.0,0.0,0.0,0.0,qehvi,5.2763750000158325,9,1e70adc1-4bb4-40cb-84e0-995cc5398d43,gaussian,5.0,20,extra_trees,multi_objective,5399.133164221594,4556.400146963849,842.7330172577449,26935.1268717697,842.7330172577449,2992.791874641078,ehmi
10,1.0,0.5,1.0,1.0,0.8509611904125115,0.5792265652069662,0.9408128852708528,1.0,0.8661819006654179,4556.400146963849,4556.400146963849,4.104097222222222,4.104097222222222,4.071388888888886,4.071388888888886,2.0206597222222222,2.0206597222222222,6.686583333333333,6.686583333333333,6.414722222222222,6.414722222222222,False,0.0,0.0,0.0,0.0,0.0,0.0,qehvi,6.105010700062849,9,1e70adc1-4bb4-40cb-84e0-995cc5398d43,gaussian,5.0,20,extra_trees,multi_objective,5399.133164221594,4556.400146963849,842.7330172577449,28620.59290628519,842.7330172577449,2862.059290628519,ehmi
11,1.0,1.0,0.7839335192759708,1.0,0.8873154326213636,0.5,1.0,1.0,0.5,4814.343710547269,4814.343710547269,4.943333333333333,4.943333333333333,4.570416666666667,4.570416666666667,2.914743055555556,2.914743055555556,6.939444444444445,6.939444444444445,6.874722222222223,6.874722222222223,False,0.0,0.0,0.0,0.0,0.0,0.0,qehvi,5.588708500028588,9,1e70adc1-4bb4-40cb-84e0-995cc5398d43,gaussian,5.0,20,extra_trees,multi_objective,5399.133164221594,4814.343710547269,584.7894536743242,29790.17181363384,584.7894536743242,2708.197437603076,ehmi
12,0.7683438581197913,1.0,0.8180029155653705,1.0,0.8874684938889499,0.5,1.0,1.0,0.5,4814.343710547269,4814.343710547269,4.607986111111109,4.607986111111109,4.122999999999999,4.122999999999999,2.445243055555555,2.445243055555555,6.708333333333333,6.708333333333333,6.5372916666666665,6.5372916666666665,False,0.0,0.0,0.0,0.0,0.0,0.0,qehvi,7.4031751999864355,9,1e70adc1-4bb4-40cb-84e0-995cc5398d43,gaussian,5.0,20,extra_trees,multi_objective,5399.133164221594,4814.343710547269,584.7894536743242,30959.75072098249,584.7894536743242,2579.979226748541,ehmi
13,1.0,1.0,0.7007458148769382,1.0,0.8737739452905512,1.0,1.0,1.0,0.5,4981.991570356006,4981.991570356006,4.951388888888889,4.951388888888889,4.716562500000001,4.716562500000001,2.8700347222222224,2.8700347222222224,6.742222222222222,6.742222222222222,6.516805555555558,6.516805555555558,False,0.0,0.0,0.0,0.0,0.0,0.0,qehvi,6.21357220003847,9,1e70adc1-4bb4-40cb-84e0-995cc5398d43,gaussian,5.0,20,extra_trees,multi_objective,5399.133164221594,4981.991570356006,417.1415938655873,31794.033908713667,417.1415938655873,2445.6949160548975,ehmi
14,1.0,1.0,0.5,1.0,0.9074673524361727,1.0,0.8844352940090587,1.0,0.5,5315.907289120187,5315.907289120187,4.993263888888889,4.993263888888889,4.850555059523809,4.850555059523809,2.9703916997354507,2.9703916997354507,6.9925,6.9925,6.972083333333333,6.972083333333333,False,0.0,0.0,0.0,0.0,0.0,0.0,qehvi,6.059837200096808,9,1e70adc1-4bb4-40cb-84e0-995cc5398d43,gaussian,5.0,20,extra_trees,multi_objective,5399.133164221594,5315.907289120187,83.22587510140693,31960.485658916485,83.22587510140693,2282.8918327797487,ehmi
15,1.0,1.0,0.5,1.0,0.8951003400608037,0.7184561837095237,0.8853030161076387,1.0,0.5485201747416416,5371.789786307738,5371.789786307738,4.998055555555555,4.998055555555555,4.868701388888888,4.868701388888888,2.979173611111111,2.979173611111111,6.995666666666666,6.995666666666666,6.99375,6.99375,False,0.0,0.0,0.0,0.0,0.0,0.0,qehvi,6.6236768999369815,9,1e70adc1-4bb4-40cb-84e0-995cc5398d43,gaussian,5.0,20,extra_trees,multi_objective,5399.133164221594,5371.789786307738,27.343377913855875,32015.1724147442,27.343377913855875,2134.3448276496133,ehmi
16,1.0,1.0,0.5,1.0,0.8882924519267573,0.5,1.0,1.0,0.5,5391.6729287258195,5391.6729287258195,5.0,5.0,4.669201388888888,4.669201388888888,2.9953819444444445,2.9953819444444445,6.998472222222223,6.998472222222223,6.997361111111112,6.997361111111112,False,0.0,0.0,0.0,0.0,0.0,0.0,qehvi,6.29956980003044,9,1e70adc1-4bb4-40cb-84e0-995cc5398d43,gaussian,5.0,20,extra_trees,multi_objective,5399.133164221594,5391.6729287258195,7.460235495774214,32030.09288573575,7.460235495774214,2001.8808053584844,ehmi
17,1.0,1.0,0.5,1.0,0.939815773190079,1.0,0.7239220741124526,1.0,0.6620190009945283,5512.233314814518,5512.233314814518,4.9905,4.9905,4.964555555555555,4.964555555555555,2.9828452380952384,2.9828452380952384,6.998333333333333,6.998333333333333,6.982083333333334,6.982083333333334,False,0.0,0.0,0.0,0.0,0.0,0.0,qehvi,6.286066700005904,9,1e70adc1-4bb4-40cb-84e0-995cc5398d43,gaussian,5.0,20,extra_trees,multi_objective,5399.133164221594,5512.233314814518,0.0,32030.09288573575,0.0,1884.1231109256323,ehmi
