iteration,verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,dataset
1,0.5642851013845998,0.7496389312200575,0.8007491788116787,0.5143445041859722,0.573963042288728,0.9641055114801848,0.5352102880770984,0.564886974699649,0.9741642266458875,4.424738888888892,4.424738888888892,False,0.0,logei,0.0,11,06b579c2-daaa-4a95-a994-cced2940579a,bias,1.0,10,extra_trees,composite,5.3704583333333735,4.424738888888892,0.9457194444444816,0.9457194444444816,0.9457194444444816,0.9457194444444816,ehmi
2,0.8109417963981914,0.6844965618648955,0.7556950109016314,0.8314214762583996,0.6376544078805646,0.5689840364334777,0.8940197972519959,0.8351802920512419,0.7561911567415802,4.957920039682545,4.957920039682545,False,0.0,logei,0.0,11,06b579c2-daaa-4a95-a994-cced2940579a,bias,1.0,10,extra_trees,composite,5.3704583333333735,4.957920039682545,0.4125382936508286,1.3582577380953103,0.4125382936508286,0.6791288690476551,ehmi
3,0.908368217984829,0.7745376344350132,0.9904568196486527,0.6022547306650224,0.776865181432614,0.7418123484616939,0.676637427530224,0.7957976519745218,0.6176506158337902,4.30422844094094,4.30422844094094,False,0.0,logei,0.0,11,06b579c2-daaa-4a95-a994-cced2940579a,bias,1.0,10,extra_trees,composite,5.3704583333333735,4.957920039682545,1.0662298923924336,2.424487630487744,0.4125382936508286,0.8081625434959147,ehmi
4,0.9011013418892417,0.9336667759212074,0.5643798356139256,0.7335366033691355,0.6385724462668522,0.5415584988676212,0.9479721541251838,0.7149743460239177,0.573845649981047,4.994260912698416,4.994260912698416,False,0.0,logei,0.0,11,06b579c2-daaa-4a95-a994-cced2940579a,bias,1.0,10,extra_trees,composite,5.3704583333333735,4.994260912698416,0.3761974206349574,2.8006850511227013,0.3761974206349574,0.7001712627806753,ehmi
5,0.8366811786379553,0.601108013894019,0.9507155393440885,0.6085741287092641,0.5165373436887144,0.6003844770806097,0.6728739368778198,0.7344540817112424,0.9530671694477804,4.28376547619048,4.28376547619048,False,0.0,logei,0.0,11,06b579c2-daaa-4a95-a994-cced2940579a,bias,1.0,10,extra_trees,composite,5.3704583333333735,4.994260912698416,1.0866928571428938,3.887377908265595,0.3761974206349574,0.777475581653119,ehmi
6,0.7933726719861999,0.7270832219122567,0.6096093508965967,0.949290658348288,0.6507935900390566,0.5149026677301016,1.0,0.8649914114288014,0.6912683425992274,5.164591666666688,5.164591666666688,False,0.0,logei,0.5589090000139549,11,06b579c2-daaa-4a95-a994-cced2940579a,bias,1.0,10,extra_trees,composite,5.3704583333333735,5.164591666666688,0.20586666666668574,4.093244574932281,0.20586666666668574,0.6822074291553801,ehmi
7,0.5,0.9804099336019604,0.5,1.0,0.6106665627554987,0.7656285449634626,1.0,0.9889953678662801,0.8262432369044913,4.758209722222237,4.758209722222237,False,0.0,logei,0.7833482000278309,11,06b579c2-daaa-4a95-a994-cced2940579a,bias,1.0,10,extra_trees,composite,5.3704583333333735,5.164591666666688,0.6122486111111369,4.705493186043418,0.20586666666668574,0.6722133122919168,ehmi
8,0.9908175434252663,0.5,0.540532934516898,1.0,0.7117113682616559,0.5,1.0,0.9071117723506623,0.5768710966855897,5.312452777777793,5.312452777777793,False,0.0,logei,0.42247909994330257,11,06b579c2-daaa-4a95-a994-cced2940579a,bias,1.0,10,extra_trees,composite,5.3704583333333735,5.312452777777793,0.058005555555580735,4.763498741598998,0.058005555555580735,0.5954373426998748,ehmi
9,1.0,0.5,0.6957685200731925,1.0,1.0,0.5,1.0,0.6434312781803287,0.5,5.203486111111125,5.203486111111125,False,0.0,logei,0.40212360001169145,11,06b579c2-daaa-4a95-a994-cced2940579a,bias,1.0,10,extra_trees,composite,5.3704583333333735,5.312452777777793,0.16697222222224894,4.930470963821247,0.058005555555580735,0.5478301070912497,ehmi
10,1.0,0.5,0.9270925374855671,1.0,0.5,0.5,1.0,1.0,0.5,4.8837430555555565,4.8837430555555565,False,0.0,logei,0.4530424000695348,11,06b579c2-daaa-4a95-a994-cced2940579a,bias,1.0,10,extra_trees,composite,5.3704583333333735,5.312452777777793,0.486715277777817,5.417186241599064,0.058005555555580735,0.5417186241599065,ehmi
