iteration,x0,x1,x2,x3,x4,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.4039152044902676,1.5685276647418804,1.889662821455866,0.09012917794007706,0.46472350058283796,0.8872794804849488,0.8872794804849488,0.8872794804849488,0.0,False,False,0.0,random,0.0,False,11,598385e5-2d51-4f0a-99ce-230ecf2e4f08,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.8872794804849488,7.160441686204029,7.160441686204029,7.160441686204029,7.160441686204029,0.8872794804849488,7.160441686204029,michalewicz
2,2.9160609307133636,0.22123276470758535,0.4076968860601681,2.9792617020516117,1.9537049265171427,-0.9325116878672203,-0.9325116878672203,-0.9325116878672203,0.0,False,False,0.0,random,0.0,False,11,598385e5-2d51-4f0a-99ce-230ecf2e4f08,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.8872794804849488,8.9802328545562,16.14067454076023,7.160441686204029,8.070337270380115,0.8872794804849488,7.160441686204029,michalewicz
3,1.1592260867346609,1.606579135616254,2.0823825501105446,0.8649081530636696,0.43343948414876815,0.8650715343080728,0.8650715343080728,0.8650715343080728,0.0,False,False,0.0,random,0.0,False,11,598385e5-2d51-4f0a-99ce-230ecf2e4f08,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.8872794804849488,7.1826496323809055,23.323324173141135,7.160441686204029,7.774441391047045,0.8872794804849488,7.160441686204029,michalewicz
4,2.4756994008316204,2.1059998862725258,1.6096965118680393,2.5658531871613883,1.7249708309499152,1.1832821562984503,1.1832821562984503,1.1832821562984503,0.0,False,False,0.0,random,0.0,False,11,598385e5-2d51-4f0a-99ce-230ecf2e4f08,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.1832821562984503,6.864439010390528,30.187763183531665,6.864439010390528,7.546940795882916,1.1832821562984503,6.864439010390528,michalewicz
5,3.081631083022443,0.6424854213040749,1.73959524004701,1.519351794949105,1.1098456893559028,-0.6877722785634273,-0.6877722785634273,-0.6877722785634273,0.0,False,False,0.0,random,0.0,False,11,598385e5-2d51-4f0a-99ce-230ecf2e4f08,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.1832821562984503,8.735493445252406,38.923256628784074,6.864439010390528,7.784651325756815,1.1832821562984503,6.864439010390528,michalewicz
6,1.8585514607845357,0.7392206207875011,2.5201940580484994,2.724808714680072,0.40451043720805385,-0.868866707091662,-0.868866707091662,-0.868866707091662,0.0,False,False,0.0,random,0.0,False,11,598385e5-2d51-4f0a-99ce-230ecf2e4f08,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.1832821562984503,8.91658787378064,47.839844502564716,6.864439010390528,7.973307417094119,1.1832821562984503,6.864439010390528,michalewicz
7,1.4673537549775792,0.8706763583638183,0.261119749473477,2.814692056824944,1.35072365235802,-1.053694782536192,-1.053694782536192,-1.053694782536192,0.0,False,False,0.0,random,0.0,False,11,598385e5-2d51-4f0a-99ce-230ecf2e4f08,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.1832821562984503,9.10141594922517,56.94126045178989,6.864439010390528,8.134465778827126,1.1832821562984503,6.864439010390528,michalewicz
8,0.4639859029600412,2.1154302348219067,0.6352803873370101,2.8319292545242996,0.6821913702458734,-1.0528799003185174,-1.0528799003185174,-1.0528799003185174,0.0,False,False,0.0,random,0.0,False,11,598385e5-2d51-4f0a-99ce-230ecf2e4f08,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.1832821562984503,9.100601067007496,66.04186151879739,6.864439010390528,8.255232689849674,1.1832821562984503,6.864439010390528,michalewicz
9,0.10390719488470904,0.6307342714617925,1.0861989801850085,1.4731184414163598,2.846704982239737,-0.8307895792296951,-0.8307895792296951,-0.8307895792296951,0.0,False,False,0.0,random,0.0,False,11,598385e5-2d51-4f0a-99ce-230ecf2e4f08,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.1832821562984503,8.878510745918673,74.92037226471606,6.864439010390528,8.324485807190674,1.1832821562984503,6.864439010390528,michalewicz
10,2.190824473273333,1.0660072949997006,0.05302133496335397,0.5021009432697906,3.1303956263687422,0.49775850488462764,0.49775850488462764,0.49775850488462764,0.0,False,False,0.0,random,0.0,False,11,598385e5-2d51-4f0a-99ce-230ecf2e4f08,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.1832821562984503,7.549962661804351,82.47033492652042,6.864439010390528,8.247033492652042,1.1832821562984503,6.864439010390528,michalewicz
