iteration,x0,x1,x2,x3,x4,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,2.7339685059847834,0.9010628369925916,1.8948457972282609,2.4426953628177106,2.2496147957845927,0.595848047753563,0.595848047753563,0.595848047753563,0.0,False,False,0.0,random,0.0,False,9,70978295-d5e6-413f-9815-9852a91e7324,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.595848047753563,7.451873118935415,7.451873118935415,7.451873118935415,7.451873118935415,0.595848047753563,7.451873118935415,michalewicz
2,2.8757514617751183,2.703006367468264,2.8847285896693013,0.08352783127899953,1.3736551050036934,0.19303114101745533,0.19303114101745533,0.19303114101745533,0.0,False,False,0.0,random,0.0,False,9,70978295-d5e6-413f-9815-9852a91e7324,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.595848047753563,7.854690025671523,15.306563144606939,7.451873118935415,7.653281572303469,0.595848047753563,7.451873118935415,michalewicz
3,1.5234975350318947,0.20468794780846922,0.017674759483104676,2.6094742043030985,3.089135106907805,-1.0527126446734347,-1.0527126446734347,-1.0527126446734347,0.0,False,False,0.0,random,0.0,False,9,70978295-d5e6-413f-9815-9852a91e7324,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.595848047753563,9.100433811362413,24.40699695596935,7.451873118935415,8.135665651989784,0.595848047753563,7.451873118935415,michalewicz
4,2.46492454909066,0.9914976055630428,2.215871184667501,0.939905061652722,2.327129991960237,1.006504808815746,1.006504808815746,1.006504808815746,0.0,False,False,0.0,random,0.0,False,9,70978295-d5e6-413f-9815-9852a91e7324,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,7.041216357873232,31.448213313842583,7.041216357873232,7.862053328460646,1.006504808815746,7.041216357873232,michalewicz
5,0.8788518104233879,2.4585818703609696,3.1030790740952976,3.0983597811058523,2.7735945546061833,-1.0537215195984087,-1.0537215195984087,-1.0537215195984087,0.0,False,False,0.0,random,0.0,False,9,70978295-d5e6-413f-9815-9852a91e7324,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,9.101442686287387,40.54965600012997,7.041216357873232,8.109931200025994,1.006504808815746,7.041216357873232,michalewicz
6,2.8676773528072754,2.224897638568024,1.74200331604952,2.9004383719868096,0.2818975587911913,-0.8496934850369796,-0.8496934850369796,-0.8496934850369796,0.0,False,False,0.0,random,0.0,False,9,70978295-d5e6-413f-9815-9852a91e7324,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,8.897414651725958,49.44707065185593,7.041216357873232,8.241178441975988,1.006504808815746,7.041216357873232,michalewicz
7,1.1628025430736864,1.903613333452661,1.500832734559952,2.4908364927108666,0.6128819805691004,0.15704192749359405,0.15704192749359405,0.15704192749359405,0.0,False,False,0.0,random,0.0,False,9,70978295-d5e6-413f-9815-9852a91e7324,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,7.890679239195384,57.33774989105132,7.041216357873232,8.191107127293046,1.006504808815746,7.041216357873232,michalewicz
8,0.19557513014446096,0.3974692987288089,3.024667554187296,0.4171235107437632,0.7103088442330793,-1.0521648781089095,-1.0521648781089095,-1.0521648781089095,0.0,False,False,0.0,random,0.0,False,9,70978295-d5e6-413f-9815-9852a91e7324,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,9.099886044797888,66.4376359358492,7.041216357873232,8.30470449198115,1.006504808815746,7.041216357873232,michalewicz
9,1.1845575249852844,1.9585368485251353,2.4570274585116842,0.24708278687853785,2.9255687415418286,-1.02785953206131,-1.02785953206131,-1.02785953206131,0.0,False,False,0.0,random,0.0,False,9,70978295-d5e6-413f-9815-9852a91e7324,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,9.075580698750288,75.51321663459949,7.041216357873232,8.390357403844387,1.006504808815746,7.041216357873232,michalewicz
10,2.396380877433238,1.008338514308611,0.5948040813250504,1.8722412141573657,1.8682713059628904,0.6106235524019539,0.6106235524019539,0.6106235524019539,0.0,False,False,0.0,random,0.0,False,9,70978295-d5e6-413f-9815-9852a91e7324,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,7.437097614287024,82.95031424888651,7.041216357873232,8.295031424888652,1.006504808815746,7.041216357873232,michalewicz
11,0.8402766311695523,0.5321632170687045,2.4079279053167806,2.113271631759251,2.5140574813014784,-1.0533248929977974,-1.0533248929977974,-1.0533248929977974,0.0,False,False,0.0,random,0.0,False,9,70978295-d5e6-413f-9815-9852a91e7324,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,9.101046059686777,92.0513603085733,7.041216357873232,8.368305482597572,1.006504808815746,7.041216357873232,michalewicz
12,0.6898205207581296,2.2720266034418026,0.23437761798505113,0.0230529894856115,0.5637101877083672,-1.0539377057494133,-1.0539377057494133,-1.0539377057494133,0.0,False,False,0.0,random,0.0,False,9,70978295-d5e6-413f-9815-9852a91e7324,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,9.101658872438392,101.15301918101169,7.041216357873232,8.429418265084307,1.006504808815746,7.041216357873232,michalewicz
13,2.4568595133396407,1.6966782596649668,1.9374359240293095,1.861476069065861,1.9976857681423468,1.0023857740560531,1.0023857740560531,1.0023857740560531,0.0,False,False,0.0,random,0.0,False,9,70978295-d5e6-413f-9815-9852a91e7324,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,7.045335392632925,108.19835457364461,7.041216357873232,8.322950351818816,1.006504808815746,7.041216357873232,michalewicz
14,1.0144384719629782,2.263842133690969,0.046076242014224764,1.185070963945692,0.17173170893915446,0.06357923156290737,0.06357923156290737,0.06357923156290737,0.0,False,False,0.0,random,0.0,False,9,70978295-d5e6-413f-9815-9852a91e7324,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,7.984141935126071,116.18249650877068,7.041216357873232,8.298749750626477,1.006504808815746,7.041216357873232,michalewicz
15,0.3952832760982357,2.8418462918450738,1.8929510244164398,2.4847828769156233,1.9029245380878528,0.21675313503547464,0.21675313503547464,0.21675313503547464,0.0,False,False,0.0,random,0.0,False,9,70978295-d5e6-413f-9815-9852a91e7324,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,7.830968031653503,124.01346454042418,7.041216357873232,8.267564302694945,1.006504808815746,7.041216357873232,michalewicz
16,1.796648258561484,2.497458945813514,1.957683413111074,1.6032006008473818,1.7484310535464134,0.5439698982903242,0.5439698982903242,0.5439698982903242,0.0,False,False,0.0,random,0.0,False,9,70978295-d5e6-413f-9815-9852a91e7324,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,7.503751268398654,131.51721580882284,7.041216357873232,8.219825988051428,1.006504808815746,7.041216357873232,michalewicz
17,1.7873062044831634,1.074506655418112,2.097826571453664,1.278205998545699,2.0562267822168896,-0.7456526726410545,-0.7456526726410545,-0.7456526726410545,0.0,False,False,0.0,random,0.0,False,9,70978295-d5e6-413f-9815-9852a91e7324,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,8.793373839330032,140.31058964815287,7.041216357873232,8.25356409695017,1.006504808815746,7.041216357873232,michalewicz
18,1.522960624377886,2.351275484204157,2.177314430786659,0.12392344136813127,2.4572159063333516,0.0759731083184128,0.0759731083184128,0.0759731083184128,0.0,False,False,0.0,random,0.0,False,9,70978295-d5e6-413f-9815-9852a91e7324,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,7.971748058370565,148.28233770652344,7.041216357873232,8.237907650362413,1.006504808815746,7.041216357873232,michalewicz
