iteration,x0,x1,x2,x3,x4,x5,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,444.2990447641016,-255.81934909493356,123.77778006187418,333.0408995042145,259.2895555242783,498.45614458860905,0.057472194418865245,0.057472194418865245,0.057472194418865245,0.0,False,False,0.0,qnei,0.0,False,9,23f9b831-a987-4fd4-93a3-d6e3846d5954,slip,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.057472194418865245,2.6963836212401056,2.6963836212401056,2.6963836212401056,2.6963836212401056,0.057472194418865245,2.6963836212401056,griewank
2,432.47237901946164,501.88515485851485,-568.0947186388834,-75.30239984458956,-18.06680762725432,-521.8149631558709,-1.21653991397448,-1.21653991397448,-1.21653991397448,0.0,False,False,0.0,qnei,0.0,False,9,23f9b831-a987-4fd4-93a3-d6e3846d5954,slip,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.057472194418865245,3.9703957296334504,6.666779350873556,2.6963836212401056,3.333389675436778,0.057472194418865245,2.6963836212401056,griewank
3,-593.2487391847285,396.7457243655084,579.9626931434107,341.53182320721544,-221.27581202607223,246.40044550734456,-1.3389954932437236,-1.3389954932437236,-1.3389954932437236,0.0,False,False,0.0,qnei,0.0,False,9,23f9b831-a987-4fd4-93a3-d6e3846d5954,slip,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.057472194418865245,4.092851308902694,10.75963065977625,2.6963836212401056,3.5865435532587497,0.057472194418865245,2.6963836212401056,griewank
4,-240.98271216210395,288.8981794508984,-264.30333630205564,339.1090983937578,585.2888962734921,583.4862591362862,-1.0998450984185968,-1.0998450984185968,-1.0998450984185968,0.0,False,False,0.0,qnei,0.0,False,9,23f9b831-a987-4fd4-93a3-d6e3846d5954,slip,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.057472194418865245,3.8537009140775673,14.613331573853817,2.6963836212401056,3.653332893463454,0.057472194418865245,2.6963836212401056,griewank
5,459.435080396011,495.3720621407015,249.84829692380697,65.39625271621048,507.8858496842647,-492.32306417482494,-1.15444362565057,-1.15444362565057,-1.15444362565057,0.0,False,False,0.0,qnei,0.0,False,9,23f9b831-a987-4fd4-93a3-d6e3846d5954,slip,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.057472194418865245,3.9082994413095404,18.521631015163358,2.6963836212401056,3.7043262030326716,0.057472194418865245,2.6963836212401056,griewank
6,369.12653494160196,-477.93503686566714,-382.6988088086817,526.9430797220974,515.2108355230349,407.2651017826968,-1.9022628689300183,-1.9022628689300183,-1.9022628689300183,0.0,False,False,0.0,qnei,0.4051265000598505,False,9,23f9b831-a987-4fd4-93a3-d6e3846d5954,slip,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.057472194418865245,4.656118684588989,23.177749699752347,2.6963836212401056,3.8629582832920577,0.057472194418865245,2.6963836212401056,griewank
7,451.1877056757999,-375.6640817576528,214.72170524784565,309.7955677169989,115.53113802101768,553.8821772546748,-0.3305702867766548,-0.3305702867766548,-0.3305702867766548,0.0,False,False,0.0,qnei,0.27079930005129427,False,9,23f9b831-a987-4fd4-93a3-d6e3846d5954,slip,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.057472194418865245,3.0844261024356254,26.262175802187972,2.6963836212401056,3.7517394003125673,0.057472194418865245,2.6963836212401056,griewank
8,390.6623847841753,3.3515556661444776,105.93892301124764,334.5411771899787,422.68581284026556,600.0,-0.3594828528717977,-0.3594828528717977,-0.3594828528717977,0.0,False,False,0.0,qnei,0.4404108999297023,False,9,23f9b831-a987-4fd4-93a3-d6e3846d5954,slip,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.057472194418865245,3.1133386685307682,29.37551447071874,2.6963836212401056,3.6719393088398427,0.057472194418865245,2.6963836212401056,griewank
9,534.0991706798145,-302.6024440809988,86.18730185690612,310.39508310855246,267.2529688158986,189.95554141477885,0.5037459420530895,0.5037459420530895,0.5037459420530895,0.0,False,False,0.0,qnei,0.37323020002804697,False,9,23f9b831-a987-4fd4-93a3-d6e3846d5954,slip,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.5037459420530895,2.250109873605881,31.62562434432462,2.250109873605881,3.5139582604805133,0.5037459420530895,2.250109873605881,griewank
10,568.6910126118071,-600.0,58.18554849286678,390.1381544309282,192.6258276177271,139.1559437134446,-0.6654843388739771,-0.6654843388739771,-0.6654843388739771,0.0,False,False,0.0,qnei,0.3604702999582514,False,9,23f9b831-a987-4fd4-93a3-d6e3846d5954,slip,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.5037459420530895,3.419340154532948,35.04496449885757,2.250109873605881,3.5044964498857567,0.5037459420530895,2.250109873605881,griewank
