iteration,x0,x1,x2,x3,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,missing,imputed_value,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,3.269722766055607,9.872768433379255,3.1871083848551676,7.88548935820029,-0.7451783695735681,-0.7451783695735681,-0.7451783695735681,0.0,False,True,0.0,logei,0.0,False,False,,8,79ecddbe-a5d5-4fdb-b3a2-a26af6895c59,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,-0.7451783695735681,6.14801613424393,6.14801613424393,6.14801613424393,6.14801613424393,-0.7451783695735681,6.14801613424393,hicks_law
2,8.69896511696216,3.9108480653919395,4.378818731227988,3.7274890308935307,-0.45245897907849875,,-0.45245897907849875,0.0,False,True,,logei,0.0,False,True,-0.7451783695735681,8,79ecddbe-a5d5-4fdb-b3a2-a26af6895c59,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,-0.45245897907849875,5.855296743748861,12.00331287799279,5.855296743748861,6.001656438996395,-0.7451783695735681,6.14801613424393,hicks_law
3,1.0695359647277436,4.789654541627169,2.413521450846823,2.5714524855112977,1.2921019029701162,1.2921019029701162,1.2921019029701162,0.0,False,True,0.0,logei,0.0,False,False,,8,79ecddbe-a5d5-4fdb-b3a2-a26af6895c59,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,1.2921019029701162,4.110735861700245,16.114048739693036,4.110735861700245,5.371349579897679,1.2921019029701162,4.110735861700245,hicks_law
4,1.847315568344149,1.938645489043107,8.13827670155021,4.229841881442264,0.4615077489425049,0.4615077489425049,0.4615077489425049,0.0,False,True,0.0,logei,0.0,False,False,,8,79ecddbe-a5d5-4fdb-b3a2-a26af6895c59,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,1.2921019029701162,4.941330015727857,21.055378755420893,4.110735861700245,5.263844688855223,1.2921019029701162,4.110735861700245,hicks_law
5,2.5592050515822606,5.909028517654116,6.042722960584558,6.468580270601879,-0.5066769243475129,-0.5066769243475129,-0.5066769243475129,0.0,False,True,0.0,logei,0.0,False,False,,8,79ecddbe-a5d5-4fdb-b3a2-a26af6895c59,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,1.2921019029701162,5.9095146890178745,26.96489344443877,4.110735861700245,5.392978688887753,1.2921019029701162,4.110735861700245,hicks_law
6,0.030112212774157505,2.716014857619619,2.931266631456648,0.9326984508573244,2.6232071377094193,2.6232071377094193,2.6232071377094193,0.0,False,True,0.0,logei,0.32939860003534704,False,False,,8,79ecddbe-a5d5-4fdb-b3a2-a26af6895c59,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,2.6232071377094193,2.7796306269609423,29.74452407139971,2.7796306269609423,4.957420678566618,2.6232071377094193,2.7796306269609423,hicks_law
7,0.0,0.0,8.870003838496343,0.0,3.5145320324925087,3.5145320324925087,3.5145320324925087,0.0,False,True,0.0,logei,0.29741920001106337,False,False,,8,79ecddbe-a5d5-4fdb-b3a2-a26af6895c59,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,3.5145320324925087,1.888305732177853,31.63282980357756,1.888305732177853,4.518975686225366,3.5145320324925087,1.888305732177853,hicks_law
8,0.0,10.0,10.0,0.0,1.4474248714720572,1.4474248714720572,1.4474248714720572,0.0,False,True,0.0,logei,0.3697299000341445,False,False,,8,79ecddbe-a5d5-4fdb-b3a2-a26af6895c59,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,3.5145320324925087,3.9554128931983046,35.588242696775865,1.888305732177853,4.448530337096983,3.5145320324925087,1.888305732177853,hicks_law
9,0.0,0.0,0.0,0.0,5.402837764670362,5.402837764670362,5.402837764670362,0.0,False,True,0.0,logei,0.2945426999940537,False,False,,8,79ecddbe-a5d5-4fdb-b3a2-a26af6895c59,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,0.0,35.588242696775865,0.0,3.9542491885306514,5.402837764670362,0.0,hicks_law
10,6.2492033157535785,0.0,0.0,0.0,3.769062477226589,3.769062477226589,3.769062477226589,0.0,False,True,0.0,logei,0.18150039995089173,False,False,,8,79ecddbe-a5d5-4fdb-b3a2-a26af6895c59,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,1.6337752874437728,37.22201798421964,0.0,3.722201798421964,5.402837764670362,0.0,hicks_law
11,0.0,0.0,0.0,10.0,3.4251313180712093,3.4251313180712093,3.4251313180712093,0.0,False,True,0.0,logei,0.20429349999176338,False,False,,8,79ecddbe-a5d5-4fdb-b3a2-a26af6895c59,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,1.9777064465991523,39.19972443081879,0.0,3.5636113118926174,5.402837764670362,0.0,hicks_law
12,0.0,0.0,0.0,0.0,5.402837764670362,5.402837764670362,5.402837764670362,0.0,False,True,0.0,logei,0.3712808000273071,False,False,,8,79ecddbe-a5d5-4fdb-b3a2-a26af6895c59,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,0.0,39.19972443081879,0.0,3.2666437025682327,5.402837764670362,0.0,hicks_law
13,0.0,0.0,0.0,1.9771622365411807,4.503040526625271,4.503040526625271,4.503040526625271,0.0,False,True,0.0,logei,0.24215960002038628,False,False,,8,79ecddbe-a5d5-4fdb-b3a2-a26af6895c59,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,0.8997972380450907,40.09952166886388,0.0,3.084578589912606,5.402837764670362,0.0,hicks_law
14,10.0,0.0,0.0,10.0,1.4474248714720572,1.4474248714720572,1.4474248714720572,0.0,False,True,0.0,logei,0.1566047000233084,False,False,,8,79ecddbe-a5d5-4fdb-b3a2-a26af6895c59,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,3.9554128931983046,44.054934562062186,0.0,3.146781040147299,5.402837764670362,0.0,hicks_law
15,10.0,10.0,0.0,0.0,1.4474248714720572,1.4474248714720572,1.4474248714720572,0.0,False,True,0.0,logei,0.20751950005069375,False,False,,8,79ecddbe-a5d5-4fdb-b3a2-a26af6895c59,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,3.9554128931983046,48.010347455260494,0.0,3.2006898303506994,5.402837764670362,0.0,hicks_law
