dataset,objective,acquisition,error_model,jitter_iteration,jitter_std,oracle_model,delta_excess_l2_norm_mean,final_simple_regret_excess_true_mean,final_cum_regret_excess_true_mean,final_avg_regret_excess_true_mean,auc_simple_regret_excess_true_mean,delta_excess_l2_norm_std,final_simple_regret_excess_true_std,final_cum_regret_excess_true_std,final_avg_regret_excess_true_std,auc_simple_regret_excess_true_std,runs
iso_rosenbrock,composite,random,gaussian,0,1.182833,gradient_boosting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
iso_rosenbrock,composite,random,gaussian,0,5.914165,gradient_boosting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
iso_rosenbrock,composite,sobol,gaussian,0,0.295708,gradient_boosting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
iso_rosenbrock,composite,sobol,gaussian,0,1.182833,gradient_boosting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
iso_rosenbrock,composite,sobol,gaussian,0,5.914165,gradient_boosting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
iso_rosenbrock,composite,ucb,gaussian,0,0.295708,gradient_boosting,0.0,-0.028245448842292076,-3.2961809924338836,-0.06592361984867785,-1.5800249465692402,0.0,0.12244999110144747,6.519925248208754,0.13039850496417518,9.852877590243216,5
iso_rosenbrock,composite,ucb,gaussian,0,1.182833,gradient_boosting,0.0,0.2410271146319088,11.584756298590108,0.23169512597180209,7.039247740160642,0.0,0.16436235014582257,11.668893582398564,0.23337787164797127,8.22285885748103,5
iso_rosenbrock,composite,ucb,gaussian,0,5.914165,gradient_boosting,0.0,0.3039185513650063,61.03116532488332,1.2206233064976661,5.686752576919233,0.0,0.20021128349087766,22.347315065474454,0.4469463013094892,6.208215256113395,5
all,composite,ei,gaussian,0,0.295708,gradient_boosting,0.0,0.09232379366593842,5.9296580570055255,0.11859316114011045,5.390691109764712,0.0,0.18540489098239882,12.748528386233989,0.2549705677246798,8.673586695270973,5
all,composite,ei,gaussian,0,1.182833,gradient_boosting,0.0,0.29495104557378365,8.847606952245792,0.1769521390449158,10.002495984577001,0.0,0.3757193719324348,12.527296579795122,0.25054593159590244,13.310904099822858,5
all,composite,ei,gaussian,0,5.914165,gradient_boosting,0.0,0.3053733135308209,46.76110271188096,0.9352220542376191,12.144553272093187,0.0,0.3402307422705035,38.816849408677115,0.7763369881735421,10.256018132382252,5
all,composite,logei,gaussian,0,0.295708,gradient_boosting,0.0,-0.015286417831017118,-2.8220619758595236,-0.05644123951719049,-2.280956987427942,0.0,0.527566479172444,15.052579393743194,0.3010515878748638,14.99382795179176,5
all,composite,logei,gaussian,0,1.182833,gradient_boosting,0.0,0.027784713812804583,-6.59322075033594,-0.1318644150067188,-4.912615060965504,0.0,0.3612195242427578,18.757381946734235,0.3751476389346847,15.282174368567942,5
all,composite,logei,gaussian,0,5.914165,gradient_boosting,0.0,0.5633268334692833,62.237800624300384,1.2447560124860075,12.0970392022714,0.0,0.5197300692714645,31.852017611184365,0.6370403522236873,9.21763928174805,5
all,composite,qnei,gaussian,0,0.295708,gradient_boosting,0.0,-0.009790138609803156,-5.406974055465082,-0.10813948110930154,2.9204455324225136,0.0,0.34396720653767116,6.2266923352885515,0.12453384670577107,12.771636182871429,5
all,composite,qnei,gaussian,0,1.182833,gradient_boosting,0.0,0.1983822334066192,-3.7788586004369478,-0.07557717200873881,2.2699992931509074,0.0,0.31818834274604085,11.932847481902282,0.2386569496380457,10.301393599742536,5
all,composite,qnei,gaussian,0,5.914165,gradient_boosting,0.0,0.2542678830118751,38.03756027497136,0.7607512054994273,6.567127924654498,0.0,0.38377793951260714,29.545520850659727,0.5909104170131946,9.304302806769671,5
all,composite,random,gaussian,0,0.295708,gradient_boosting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
all,composite,random,gaussian,0,1.182833,gradient_boosting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
all,composite,random,gaussian,0,5.914165,gradient_boosting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
all,composite,sobol,gaussian,0,0.295708,gradient_boosting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
all,composite,sobol,gaussian,0,1.182833,gradient_boosting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
all,composite,sobol,gaussian,0,5.914165,gradient_boosting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
all,composite,ucb,gaussian,0,0.295708,gradient_boosting,0.0,-0.028245448842292076,-3.2961809924338836,-0.06592361984867785,-1.5800249465692402,0.0,0.12244999110144747,6.519925248208754,0.13039850496417518,9.852877590243216,5
all,composite,ucb,gaussian,0,1.182833,gradient_boosting,0.0,0.2410271146319088,11.584756298590108,0.23169512597180209,7.039247740160642,0.0,0.16436235014582257,11.668893582398564,0.23337787164797127,8.22285885748103,5
all,composite,ucb,gaussian,0,5.914165,gradient_boosting,0.0,0.3039185513650063,61.03116532488332,1.2206233064976661,5.686752576919233,0.0,0.20021128349087766,22.347315065474454,0.4469463013094892,6.208215256113395,5
