arm,procedure,error_model,family,k,candidates,rho,winner,scope,jitter_std,jitter_iteration,n_landscapes,n_cells,cost,gain,price,recovered,recovered_lo,recovered_hi,wilcoxon_p,wilcoxon_p_fdr
output-boba,confirm_k2,gaussian,confirmation,2.0,,,,cell,0.05,0.0,20,200,0.006019024042053409,-0.026887354299413285,0.019179242850720667,-4.467062120296927,-51.133004605105086,-0.8613070655233015,0.010843698055191907,0.08674958444153526
output-boba,confirm_k2,gaussian,confirmation,2.0,,,,cell,0.05,20.0,20,200,0.0034748877241901053,-0.029029475240276454,0.019179242850720667,-8.3540757412651,-85.42649677859582,-0.5489585922059808,0.33413808059574546,0.44551744079432726
output-boba,confirm_k2,gaussian,confirmation,2.0,,,,cell,0.25,0.0,20,200,0.0525171889089013,-0.013650491548156018,0.019179242850720667,-0.2599242615943283,-0.5511369068201836,-0.06899480938183579,0.03638546131456511,0.14554184525826044
output-boba,confirm_k2,gaussian,confirmation,2.0,,,,cell,0.25,20.0,20,200,0.04002168336187528,-0.010524366875629161,0.019179242850720667,-0.26296662188014536,-0.62719011616895,0.021131657155379395,0.26109886169433594,0.443768310546875
output-boba,confirm_k2,gaussian,confirmation,2.0,,,,cell,1.0,0.0,20,200,0.25211626310291996,-0.00413205174097019,0.019179242850720667,-0.01638946924769937,-0.11163714640453834,0.07631191214167493,0.7285060882568359,0.8325783865792411
output-boba,confirm_k2,gaussian,confirmation,2.0,,,,cell,1.0,20.0,20,200,0.13089312859367422,0.0016624140638255868,0.019179242850720667,0.012700544953632712,-0.15948609710495865,0.17295933796795912,0.956329345703125,0.956329345703125
output-boba,confirm_k2,gaussian,confirmation,2.0,,,,cell,5.0,0.0,20,200,0.7163745326954236,-0.041126332129604815,0.019179242850720667,-0.057408981269704396,-0.1741266817385204,0.03843332532697253,0.2773551940917969,0.443768310546875
output-boba,confirm_k2,gaussian,confirmation,2.0,,,,cell,5.0,20.0,20,200,0.5340938270581989,0.11747595200544722,0.019179242850720667,0.21995377226602203,0.02354524438553367,0.4011170257198723,0.11398696899414062,0.3039652506510417
output-boba,confirm_k2,gaussian,confirmation,2.0,,,,pooled,,,20,1600,0.2169388169359045,-0.0007764632205971469,0.019179242850720677,-0.003579180672062742,-0.10396574355895573,0.10080395415764974,0.6215133666992188,
output-boba,confirm_k4,gaussian,confirmation,4.0,,,,cell,0.05,0.0,20,200,0.006019024042053409,-0.033749818112694785,0.03315045109935666,-5.607191112195812,-65.73408330176589,-1.2169444901807234,0.027857098015306787,0.0884168770493942
output-boba,confirm_k4,gaussian,confirmation,4.0,,,,cell,0.05,20.0,20,200,0.0034748877241901053,-0.03409734536864803,0.03315045109935666,-9.8125027554941,-99.44282394739842,-1.0771107943955223,0.040135536373545506,0.0884168770493942
output-boba,confirm_k4,gaussian,confirmation,4.0,,,,cell,0.25,0.0,20,200,0.0525171889089013,-0.018665900325230488,0.03315045109935666,-0.3554245897968607,-0.7309480436826812,-0.1087069305101617,0.0442084385246971,0.0884168770493942
output-boba,confirm_k4,gaussian,confirmation,4.0,,,,cell,0.25,20.0,20,200,0.04002168336187528,-0.015612134736304245,0.03315045109935666,-0.39009190580864944,-0.7677130610494088,-0.08517006586474851,0.17685317993164062,0.282965087890625
output-boba,confirm_k4,gaussian,confirmation,4.0,,,,cell,1.0,0.0,20,200,0.25211626310291996,-0.0032507462834600277,0.03315045109935666,-0.012893838118380307,-0.10528733603032395,0.07398340710899462,0.7841262817382812,0.8123550415039062
output-boba,confirm_k4,gaussian,confirmation,4.0,,,,cell,1.0,20.0,20,200,0.13089312859367422,0.00428471732687041,0.03315045109935666,0.03273447103683547,-0.1772444959433058,0.19628077307577763,0.47490501403808594,0.6332066853841146
output-boba,confirm_k4,gaussian,confirmation,4.0,,,,cell,5.0,0.0,20,200,0.7163745326954236,0.02037790655648323,0.03315045109935666,0.02844588357965424,-0.05598524466895882,0.10945938318292697,0.8123550415039062,0.8123550415039062
