iteration,x0,x1,x2,x3,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,missing,imputed_value,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,9.560017096289753,2.076818100791469,8.284448852745307,1.4928212308202027,0.715257817365798,0.715257817365798,0.715257817365798,0.0,False,True,0.0,ucb,0.0,False,False,,10,a262b4dc-f568-4673-a4c9-60b1be6a1f90,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,0.715257817365798,56.05881622065259,56.05881622065259,56.05881622065259,56.05881622065259,0.715257817365798,56.05881622065259,shekel
2,5.1280461643656485,1.3591960402050662,6.890364797811311,8.41747724312279,-0.48337812269730146,-0.48337812269730146,-0.48337812269730146,0.0,False,True,0.0,ucb,0.0,False,False,,10,a262b4dc-f568-4673-a4c9-60b1be6a1f90,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,0.715257817365798,57.25745216071569,113.31626838136827,56.05881622065259,56.65813419068414,0.715257817365798,56.05881622065259,shekel
3,4.255089974049766,9.569260034533663,8.253329063847982,3.38215312471576,-0.6379940207411289,-0.6379940207411289,-0.6379940207411289,0.0,False,True,0.0,ucb,0.0,False,False,,10,a262b4dc-f568-4673-a4c9-60b1be6a1f90,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,0.715257817365798,57.412068058759516,170.7283364401278,56.05881622065259,56.9094454800426,0.715257817365798,56.05881622065259,shekel
4,5.757605479445136,7.533018647084769,8.271039370247955,9.334384708515813,0.011918311980180278,0.011918311980180278,0.011918311980180278,0.0,False,True,0.0,ucb,0.0,False,False,,10,a262b4dc-f568-4673-a4c9-60b1be6a1f90,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,0.715257817365798,56.7621557260382,227.490492166166,56.05881622065259,56.8726230415415,0.715257817365798,56.05881622065259,shekel
5,1.449946949362273,7.455802110439374,1.3935139386782236,9.065287561129269,0.9169438576862018,0.9169438576862018,0.9169438576862018,0.0,False,True,0.0,ucb,0.0,False,False,,10,a262b4dc-f568-4673-a4c9-60b1be6a1f90,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,0.9169438576862018,55.857130180332184,283.3476223464982,55.857130180332184,56.669524469299645,0.9169438576862018,55.857130180332184,shekel
6,0.0,0.0,0.0,3.4725656458536633,-0.5266323783650441,-0.5266323783650441,-0.5266323783650441,0.0,False,True,0.0,ucb,0.3123500000219792,False,False,,10,a262b4dc-f568-4673-a4c9-60b1be6a1f90,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,0.9169438576862018,57.30070641638343,340.64832876288165,55.857130180332184,56.77472146048027,0.9169438576862018,55.857130180332184,shekel
7,0.0,9.793687223335773,0.0,10.0,-0.6806313208936798,-0.6806313208936798,-0.6806313208936798,0.0,False,True,0.0,ucb,0.27388980000978336,False,False,,10,a262b4dc-f568-4673-a4c9-60b1be6a1f90,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,0.9169438576862018,57.454705358912065,398.1030341217937,55.857130180332184,56.8718620173991,0.9169438576862018,55.857130180332184,shekel
8,1.4274574949187657,6.4857564963667835,0.9188027999586176,8.90424412021149,0.016032427275805314,0.016032427275805314,0.016032427275805314,0.0,False,True,0.0,ucb,0.37745520001044497,False,False,,10,a262b4dc-f568-4673-a4c9-60b1be6a1f90,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,0.9169438576862018,56.75804161074258,454.8610757325363,55.857130180332184,56.857634466567035,0.9169438576862018,55.857130180332184,shekel
9,2.5412361722116654,7.777898542724443,0.0,6.777485349111503,-0.058514172627964336,-0.058514172627964336,-0.058514172627964336,0.0,False,True,0.0,ucb,0.3894621000508778,False,False,,10,a262b4dc-f568-4673-a4c9-60b1be6a1f90,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,0.9169438576862018,56.83258821064635,511.6936639431826,55.857130180332184,56.85485154924251,0.9169438576862018,55.857130180332184,shekel
10,3.2155129331946597,7.709146555402927,0.0,10.0,-0.31324706671752056,,-0.31324706671752056,0.0,False,True,,ucb,0.8510115999961272,False,True,-0.5711770353154779,10,a262b4dc-f568-4673-a4c9-60b1be6a1f90,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,0.9169438576862018,57.087321104735906,568.7809850479185,55.857130180332184,56.87809850479185,0.9169438576862018,55.857130180332184,shekel
