iteration,x0,x1,x2,x3,x4,x5,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,ceiling_value,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,-445.7157566769605,-0.8665650718620554,121.79802914802895,-565.5731899536665,-422.48869850705285,513.8532275524435,-0.9762267742847551,-0.9634785717343207,True,0.012748202550434407,qnei,0.0,False,1.245004527596541,11,484e839b-050b-414a-ae0f-39fab929dba1,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5",2.7538558156589708,-0.9762267742847551,3.7300825899437258,3.7300825899437258,3.7300825899437258,3.7300825899437258,-0.9762267742847551,3.7300825899437258,griewank
2,-515.4953086149638,-444.2712607208424,537.9941439501301,146.26031135565938,-157.20825152425084,13.668026163915215,-0.2974490717811511,-0.42240159838449737,True,-0.12495252660334627,qnei,0.0,False,1.245004527596541,11,484e839b-050b-414a-ae0f-39fab929dba1,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5",2.7538558156589708,-0.2974490717811511,3.051304887440122,6.781387477383848,3.051304887440122,3.390693738691924,-0.2974490717811511,3.051304887440122,griewank
3,195.41154302015912,-269.6294210866448,-434.4383125596536,345.6475134047902,204.43270092298053,14.858776179792471,0.9791977447925131,1.245004527596541,True,0.2658067828040278,qnei,0.0,False,1.245004527596541,11,484e839b-050b-414a-ae0f-39fab929dba1,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.9791977447925131,1.7746580708664577,8.556045548250305,1.7746580708664577,2.8520151827501015,0.9791977447925131,1.7746580708664577,griewank
4,380.08372316358964,58.890322644031585,577.0963671567665,-354.58864640394614,64.47643543827337,-19.650363691934785,0.4139567988793983,0.6983694769696918,True,0.28441267809029347,qnei,0.0,False,1.245004527596541,11,484e839b-050b-414a-ae0f-39fab929dba1,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.9791977447925131,2.3398990167795723,10.895944565029877,1.7746580708664577,2.7239861412574693,0.9791977447925131,1.7746580708664577,griewank
5,-176.0701739274623,109.91436473885221,-317.63852199890334,362.64322053418016,440.8002622108977,-445.48839452657876,0.1984878307961768,-0.4788054709584927,True,-0.6772933017546695,qnei,0.0,False,1.245004527596541,11,484e839b-050b-414a-ae0f-39fab929dba1,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.9791977447925131,2.555367984862794,13.451312549892672,1.7746580708664577,2.6902625099785342,0.9791977447925131,1.7746580708664577,griewank
6,340.84977739026533,-456.4902360896768,-588.7825507844839,373.6868371221609,152.3755698369345,183.2177256591371,-0.5616288062441688,-0.28312257554107784,True,0.27850623070309094,qnei,0.35436810000101104,False,1.245004527596541,11,484e839b-050b-414a-ae0f-39fab929dba1,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.9791977447925131,3.3154846219031393,16.76679717179581,1.7746580708664577,2.794466195299302,0.9791977447925131,1.7746580708664577,griewank
7,266.8147308858914,-151.7611114752189,-452.6939395121517,340.51438955507945,254.97576525452513,-43.778444055536056,0.9080721063015957,1.030873488988536,True,0.1228013826869403,qnei,0.3649441000306979,False,1.245004527596541,11,484e839b-050b-414a-ae0f-39fab929dba1,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.9791977447925131,1.845783709357375,18.612580881153185,1.7746580708664577,2.6589401258790266,0.9791977447925131,1.7746580708664577,griewank
8,117.90818769064558,-281.7271862779813,-373.2456049584779,-282.2708246630321,343.3853265847384,2.0940521041461317,1.1024523983948071,1.0393215192041656,True,-0.06313087919064153,qnei,0.31922850001137704,False,1.245004527596541,11,484e839b-050b-414a-ae0f-39fab929dba1,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5",2.7538558156589708,1.1024523983948071,1.6514034172641636,20.26398429841735,1.6514034172641636,2.5329980373021685,0.9791977447925131,1.7746580708664577,griewank
9,257.68094044222164,-600.0,-249.53287414815816,535.1757109349373,-42.79290589610003,-8.367017003934787,-0.22737579448286835,-0.032517069991182646,True,0.1948587244916857,qnei,0.44443869998212904,False,1.245004527596541,11,484e839b-050b-414a-ae0f-39fab929dba1,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5",2.7538558156589708,1.1024523983948071,2.981231610141839,23.24521590855919,1.6514034172641636,2.5828017676176875,0.9791977447925131,1.7746580708664577,griewank
10,198.4087767245814,-124.67807397086857,-284.614600262477,444.8399851959479,183.01696606547375,40.002661128894644,1.3306066886669836,1.1913799768363051,True,-0.13922671183067847,qnei,0.4559993000002578,False,1.245004527596541,11,484e839b-050b-414a-ae0f-39fab929dba1,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5",2.7538558156589708,1.3306066886669836,1.4232491269919871,24.668465035551176,1.4232491269919871,2.4668465035551175,0.9791977447925131,1.7746580708664577,griewank
11,161.40803602112956,-226.5982609124943,-567.6764842994141,595.5990252864394,219.78309511835786,-465.79297768885374,-1.1399497992004124,-1.0232879408459867,True,0.11666185835442566,qnei,0.38746870000613853,False,1.245004527596541,11,484e839b-050b-414a-ae0f-39fab929dba1,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5",2.7538558156589708,1.3306066886669836,3.8938056148593834,28.56227065041056,1.4232491269919871,2.596570059128233,0.9791977447925131,1.7746580708664577,griewank
12,-378.6932260840585,341.50075008766987,-408.5965698610885,248.6232490219352,235.4552457851824,16.27787960716041,0.6675238406523627,0.5560671347121444,True,-0.11145670594021828,qnei,0.646909200004302,False,1.245004527596541,11,484e839b-050b-414a-ae0f-39fab929dba1,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5",2.7538558156589708,1.3306066886669836,2.0863319750066083,30.64860262541717,1.4232491269919871,2.5540502187847642,0.9791977447925131,1.7746580708664577,griewank
13,600.0,-212.59287765567345,446.2131810126784,600.0,264.4907765386358,18.410760472282355,-1.1965741709579463,-0.8018868118042253,True,0.394687359153721,qnei,0.725972099986393,False,1.245004527596541,11,484e839b-050b-414a-ae0f-39fab929dba1,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5",2.7538558156589708,1.3306066886669836,3.950429986616917,34.59903261203409,1.4232491269919871,2.661464047079545,0.9791977447925131,1.7746580708664577,griewank
14,65.17126358569631,85.10701112753999,-276.01037311591006,98.57612903461833,193.78184577360256,-11.186524488703176,2.225024651650012,1.245004527596541,True,-0.9800201240534712,qnei,0.5011532999924384,False,1.245004527596541,11,484e839b-050b-414a-ae0f-39fab929dba1,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.225024651650012,0.5288311640089587,35.12786377604304,0.5288311640089587,2.5091331268602173,0.9791977447925131,1.7746580708664577,griewank
15,71.42949701941394,-208.03458312701875,234.0936148718492,600.0,251.05061472520285,1.0403010048664196,0.7372407958923113,0.37618894483846327,True,-0.361051851053848,qnei,0.6334837999893352,False,1.245004527596541,11,484e839b-050b-414a-ae0f-39fab929dba1,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.225024651650012,2.0166150197666592,37.144478795809704,0.5288311640089587,2.4762985863873137,0.9791977447925131,1.7746580708664577,griewank
16,39.44001566834456,-95.49230391852466,-579.3900819473436,273.66739899705584,269.80131425546955,27.566183016652797,0.8565343798563836,1.0543488421123797,True,0.19781446225599608,qnei,0.516382000001613,False,1.245004527596541,11,484e839b-050b-414a-ae0f-39fab929dba1,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.225024651650012,1.8973214358025872,39.04180023161229,0.5288311640089587,2.4401125144757683,0.9791977447925131,1.7746580708664577,griewank
