iteration,x0,x1,x2,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.9560017096289753,0.20768181007914688,0.8284448852745308,0.3071663307112894,0.3071663307112894,0.3071663307112894,0.0,False,False,0.0,ei,0.0,False,10,e97a4229-bbaf-4244-b31b-5de9a8884dae,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,0.3071663307112894,2.747734611444438,2.747734611444438,2.747734611444438,2.747734611444438,0.3071663307112894,2.747734611444438,hartmann_3
2,0.14928212308202027,0.5128046164365648,0.13591960402050662,-0.8703311095386822,-0.8703311095386822,-0.8703311095386822,0.0,False,False,0.0,ei,0.0,False,10,e97a4229-bbaf-4244-b31b-5de9a8884dae,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,0.3071663307112894,3.92523205169441,6.672966663138848,2.747734611444438,3.336483331569424,0.3071663307112894,2.747734611444438,hartmann_3
3,0.6890364797811311,0.841747724312279,0.4255089974049766,-0.2909134329371896,-0.2909134329371896,-0.2909134329371896,0.0,False,False,0.0,ei,0.0,False,10,e97a4229-bbaf-4244-b31b-5de9a8884dae,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,0.3071663307112894,3.345814375092917,10.018781038231765,2.747734611444438,3.3395936794105885,0.3071663307112894,2.747734611444438,hartmann_3
4,0.9569260034533662,0.8253329063847983,0.338215312471576,-0.8973733195280779,-0.8973733195280779,-0.8973733195280779,0.0,False,False,0.0,ei,0.0,False,10,e97a4229-bbaf-4244-b31b-5de9a8884dae,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,0.3071663307112894,3.9522742616838054,13.97105529991557,2.747734611444438,3.4927638249788924,0.3071663307112894,2.747734611444438,hartmann_3
5,0.5757605479445136,0.7533018647084769,0.8271039370247955,1.6562044985234257,1.6562044985234257,1.6562044985234257,0.0,False,False,0.0,ei,0.0,False,10,e97a4229-bbaf-4244-b31b-5de9a8884dae,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,1.6562044985234257,1.398696443632302,15.369751743547871,1.398696443632302,3.073950348709574,1.6562044985234257,1.398696443632302,hartmann_3
6,0.02181076040155158,0.9284429285418594,0.8555115726303001,0.21461169106199476,0.21461169106199476,0.21461169106199476,0.0,False,False,0.0,ei,0.23496620007790625,False,10,e97a4229-bbaf-4244-b31b-5de9a8884dae,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,1.6562044985234257,2.8402892510937328,18.210040994641602,1.398696443632302,3.035006832440267,1.6562044985234257,1.398696443632302,hartmann_3
7,0.7506539578857447,0.8715329827261159,0.9006646053442364,0.42257432256098443,0.42257432256098443,0.42257432256098443,0.0,False,False,0.0,ei,0.31005269999150187,False,10,e97a4229-bbaf-4244-b31b-5de9a8884dae,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,1.6562044985234257,2.632326619594743,20.842367614236345,1.398696443632302,2.9774810877480493,1.6562044985234257,1.398696443632302,hartmann_3
8,0.3551496403540332,0.7027689026864572,0.7600196980473347,1.8446017120142189,1.8446017120142189,1.8446017120142189,0.0,False,False,0.0,ei,0.4962595000397414,False,10,e97a4229-bbaf-4244-b31b-5de9a8884dae,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,1.8446017120142189,1.2102992301415088,22.052666844377853,1.2102992301415088,2.7565833555472317,1.8446017120142189,1.2102992301415088,hartmann_3
9,0.7107703913593154,0.6133419102736591,0.8530220787439975,2.726762878241537,2.726762878241537,2.726762878241537,0.0,False,False,0.0,ei,0.48173370002768934,False,10,e97a4229-bbaf-4244-b31b-5de9a8884dae,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,2.726762878241537,0.3281380639141904,22.380804908292042,0.3281380639141904,2.486756100921338,2.726762878241537,0.3281380639141904,hartmann_3
10,0.6706893217703485,0.5520644735330592,0.9650620548398097,1.7499583679366648,1.7499583679366648,1.7499583679366648,0.0,False,False,0.0,ei,0.38054120005108416,False,10,e97a4229-bbaf-4244-b31b-5de9a8884dae,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,2.726762878241537,1.3049425742190628,23.685747482511104,0.3281380639141904,2.3685747482511106,2.726762878241537,0.3281380639141904,hartmann_3
