iteration,x0,x1,x2,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.8702492039700847,0.28681720908755537,0.6031481500515619,-0.39422817498468915,-0.39422817498468915,-0.39422817498468915,0.0,False,False,0.0,logei,0.0,False,9,7c619fe1-41e4-4c2c-bd4c-7a4972019068,slip,0.4,20,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,-0.39422817498468915,3.4491291171404166,3.4491291171404166,3.4491291171404166,3.4491291171404166,-0.39422817498468915,3.4491291171404166,hartmann_3
2,0.7775340829201788,0.7160746296035653,0.9153801204905075,1.7378678023125438,1.7378678023125438,1.7378678023125438,0.0,False,False,0.0,logei,0.0,False,9,7c619fe1-41e4-4c2c-bd4c-7a4972019068,slip,0.4,20,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,1.7378678023125438,1.3170331398431838,4.7661622569836,1.3170331398431838,2.3830811284918,1.7378678023125438,1.3170331398431838,hartmann_3
3,0.8603936491828846,0.9182376290487624,0.026587734467597213,-0.9871025361789454,-0.9871025361789454,-0.9871025361789454,0.0,False,False,0.0,logei,0.0,False,9,7c619fe1-41e4-4c2c-bd4c-7a4972019068,slip,0.4,20,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,1.7378678023125438,4.0420034783346726,8.808165735318273,1.3170331398431838,2.936055245106091,1.7378678023125438,1.3170331398431838,hartmann_3
4,0.4372480001295087,0.48494432697728806,0.06515419737010752,-0.9087857119633538,-0.9087857119633538,-0.9087857119633538,0.0,False,False,0.0,logei,0.0,False,9,7c619fe1-41e4-4c2c-bd4c-7a4972019068,slip,0.4,20,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,1.7378678023125438,3.9636866541190816,12.771852389437354,1.3170331398431838,3.1929630973593386,1.7378678023125438,1.3170331398431838,hartmann_3
5,0.005626050679392924,0.830621436971257,0.9833022442861755,0.28104361833347785,0.28104361833347785,0.28104361833347785,0.0,False,False,0.0,logei,0.0,False,9,7c619fe1-41e4-4c2c-bd4c-7a4972019068,slip,0.4,20,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,1.7378678023125438,2.77385732382225,15.545709713259605,1.3170331398431838,3.109141942651921,1.7378678023125438,1.3170331398431838,hartmann_3
6,1.0,0.5629141668658532,0.9810290367575327,1.3419956784694695,1.3419956784694695,1.3419956784694695,0.0,False,False,0.0,logei,0.25878060003742576,False,9,7c619fe1-41e4-4c2c-bd4c-7a4972019068,slip,0.4,20,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,1.7378678023125438,1.712905263686258,17.258614976945864,1.3170331398431838,2.8764358294909775,1.7378678023125438,1.3170331398431838,hartmann_3
7,0.9857501962387138,1.0,0.8829138206616007,-0.44956557556669835,-0.44956557556669835,-0.44956557556669835,0.0,False,False,0.0,logei,0.29028019995894283,False,9,7c619fe1-41e4-4c2c-bd4c-7a4972019068,slip,0.4,20,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,1.7378678023125438,3.504466517722426,20.763081494668292,1.3170331398431838,2.9661544992383275,1.7378678023125438,1.3170331398431838,hartmann_3
8,0.6433486296308573,0.6439587838542566,0.8361509577617972,2.5576987950155843,2.5576987950155843,2.5576987950155843,0.0,False,False,0.0,logei,0.2406910000136122,False,9,7c619fe1-41e4-4c2c-bd4c-7a4972019068,slip,0.4,20,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,2.5576987950155843,0.4972021471401433,21.260283641808435,0.4972021471401433,2.6575354552260544,2.5576987950155843,0.4972021471401433,hartmann_3
9,1.0,0.6336045870427576,0.7695790188000651,1.755619060034844,1.755619060034844,1.755619060034844,0.0,False,False,0.0,logei,0.3147848999360576,False,9,7c619fe1-41e4-4c2c-bd4c-7a4972019068,slip,0.4,20,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,2.5576987950155843,1.2992818821208836,22.55956552392932,0.4972021471401433,2.5066183915477023,2.5576987950155843,0.4972021471401433,hartmann_3
10,0.4521052423910219,0.6001246710077307,0.7884779580056719,2.5218352614489654,2.5218352614489654,2.5218352614489654,0.0,False,False,0.0,logei,0.33847550000064075,False,9,7c619fe1-41e4-4c2c-bd4c-7a4972019068,slip,0.4,20,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,2.5576987950155843,0.5330656807067622,23.09263120463608,0.4972021471401433,2.309263120463608,2.5576987950155843,0.4972021471401433,hartmann_3
