iteration,x0,x1,objective_true,objective_observed,objective_true_f0,objective_observed_f0,objective_true_f1,objective_observed_f1,error_applied,error_magnitude_l2,error_magnitude_f0,error_magnitude_f1,acquisition,fit_time_sec,acq_opt_failed,halo_rho_hat,halo_correction_f0,halo_correction_f1,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.8309833188891115,0.3609466668342566,0.0,0.0,0.4660155248710396,-0.295881364104733,-0.07520493656194786,-0.23889540088473543,True,0.7792826429102412,-0.7618968889757726,-0.16369046432278755,qlognehvi,0.0,False,,0.0,0.0,14,4344a0a1-2b2a-45d3-8792-b852cf3310cd,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1",0.43708540178519006,0.0,0.43708540178519006,0.43708540178519006,0.43708540178519006,0.43708540178519006,0.0,0.43708540178519006,branincurrin
2,0.7027393055820549,0.8601187866525944,0.0,0.0,-1.9693393256490885,-0.4592979071672705,1.0823181522544267,1.4334138660526115,True,1.5503203816560105,1.510041418481818,0.3510957137981847,qlognehvi,0.0,False,,0.0,0.0,14,4344a0a1-2b2a-45d3-8792-b852cf3310cd,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1",0.43708540178519006,0.0,0.43708540178519006,0.8741708035703801,0.43708540178519006,0.43708540178519006,0.0,0.43708540178519006,branincurrin
3,0.6413174807881646,0.5483632088133139,0.0,0.0,-0.025949493185649576,-0.9795266562017426,0.3936490367035424,1.973040271151376,True,1.8449352501582466,-0.9535771630160931,1.5793912344478336,qlognehvi,0.0,False,,0.0,0.0,14,4344a0a1-2b2a-45d3-8792-b852cf3310cd,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1",0.43708540178519006,0.0,0.43708540178519006,1.31125620535557,0.43708540178519006,0.43708540178519,0.0,0.43708540178519006,branincurrin
4,0.7623134225311933,0.7163143826400404,0.0,0.0,-1.1327399808679735,-2.5406512911357866,0.8660842799193508,0.8175751243377993,True,1.4087467464932317,-1.4079113102678131,-0.048509155581551444,qlognehvi,0.0,False,,0.0,0.0,14,4344a0a1-2b2a-45d3-8792-b852cf3310cd,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1",0.43708540178519006,0.0,0.43708540178519006,1.7483416071407603,0.43708540178519006,0.43708540178519006,0.0,0.43708540178519006,branincurrin
5,0.467168753910852,0.572458938182647,0.0,1.888714179541566,0.40363465909334784,1.4270139462486457,0.24169062907903438,3.231415514156622,True,3.1600253248717296,1.023379287155298,2.9897248850775875,qlognehvi,0.0,False,,0.0,0.0,14,4344a0a1-2b2a-45d3-8792-b852cf3310cd,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1",0.43708540178519006,0.0,0.43708540178519006,2.1854270089259504,0.43708540178519006,0.43708540178519006,0.0,0.43708540178519006,branincurrin
6,0.38491202808954306,0.5521291230325064,0.0,1.888714179541566,0.5001274024450458,1.1345041588977929,0.03209813829588629,0.20065008484006275,True,0.6563867974078538,0.634376756452747,0.16855194654417646,qlognehvi,0.8868258000002243,False,0.0,0.0,0.0,14,4344a0a1-2b2a-45d3-8792-b852cf3310cd,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1",0.43708540178519006,0.0,0.43708540178519006,2.6225124107111406,0.43708540178519006,0.4370854017851901,0.0,0.43708540178519006,branincurrin
7,0.47176808035183554,0.7101000741159846,0.0,1.888714179541566,-0.11300105907241109,-0.7697861846506109,0.5952955339176755,0.15523575334677853,True,0.7905816287119741,-0.6567851255781998,-0.440059780570897,qlognehvi,1.0507102999836206,False,0.4678639975908092,0.0,0.0,14,4344a0a1-2b2a-45d3-8792-b852cf3310cd,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1",0.43708540178519006,0.0,0.43708540178519006,3.059597812496331,0.43708540178519006,0.4370854017851901,0.0,0.43708540178519006,branincurrin
8,0.46521743553120537,0.5381767948915662,0.0,1.888714179541566,0.5048692504027097,0.536832414039596,0.13655253918768445,0.0990470396007296,True,0.049277848258070724,0.03196316363688634,-0.03750549958695486,qlognehvi,1.0998081999714486,False,0.5806812260881021,0.0,0.0,14,4344a0a1-2b2a-45d3-8792-b852cf3310cd,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1",0.43708540178519006,0.0,0.43708540178519006,3.496683214281521,0.43708540178519006,0.4370854017851901,0.0,0.43708540178519006,branincurrin
9,0.5000280566681589,0.602919474477877,0.0,1.888714179541566,0.26082559824011403,-0.4004259376547313,0.37562334354555543,1.2018250691108652,True,1.058235741718445,-0.6612515358948453,0.8262017255653098,qlognehvi,1.5155354999587871,False,0.6962423815018768,0.0,0.0,14,4344a0a1-2b2a-45d3-8792-b852cf3310cd,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1",0.43708540178519006,0.0,0.43708540178519006,3.933768616066711,0.43708540178519006,0.4370854017851901,0.0,0.43708540178519006,branincurrin
10,0.44655450165836186,0.5647622401519804,0.0,1.888714179541566,0.4384449713104262,2.0362020454000347,0.18491512897977727,0.27620744952159526,True,1.6003630699292262,1.5977570740896085,0.09129232054181799,qlognehvi,1.4861464999848977,False,0.5861741076887937,0.0,0.0,14,4344a0a1-2b2a-45d3-8792-b852cf3310cd,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1",0.43708540178519006,0.0,0.43708540178519006,4.370854017851901,0.43708540178519006,0.43708540178519006,0.0,0.43708540178519006,branincurrin
