iteration,x0,x1,objective_true,objective_observed,objective_true_f0,objective_observed_f0,objective_true_f1,objective_observed_f1,error_applied,error_magnitude_l2,error_magnitude_f0,error_magnitude_f1,acquisition,fit_time_sec,acq_opt_failed,halo_rho_hat,halo_correction_f0,halo_correction_f1,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.12857020276919962,0.49927786244011496,0.0,0.0,0.6353066457377853,0.6353066457377853,-0.14057507353656803,-0.14057507353656803,False,0.0,0.0,0.0,qlognehvi,0.0,False,,0.0,0.0,11,9267f023-1133-43bc-87ac-c8dc212abade,gaussian,1.0,20,exact,multi_objective,learned,1e-06,"x0,x1",0.43708540178519006,0.0,0.43708540178519006,0.43708540178519006,0.43708540178519006,0.43708540178519006,0.0,0.43708540178519006,branincurrin
2,0.6014983576233575,0.028689008371944547,0.0,0.0,0.9528637770280092,0.9528637770280092,-1.334990877544373,-1.334990877544373,False,0.0,0.0,0.0,qlognehvi,0.0,False,,0.0,0.0,11,9267f023-1133-43bc-87ac-c8dc212abade,gaussian,1.0,20,exact,multi_objective,learned,1e-06,"x0,x1",0.43708540178519006,0.0,0.43708540178519006,0.8741708035703801,0.43708540178519006,0.43708540178519006,0.0,0.43708540178519006,branincurrin
3,0.14792608457745593,0.9282110229603695,0.04185571956570119,0.04185571956570119,0.918082012949503,0.918082012949503,0.8027448051066717,0.8027448051066717,False,0.0,0.0,0.0,qlognehvi,0.0,False,,0.0,0.0,11,9267f023-1133-43bc-87ac-c8dc212abade,gaussian,1.0,20,exact,multi_objective,learned,1e-06,"x0,x1",0.43708540178519006,0.04185571956570119,0.3952296822194889,1.269400485789869,0.3952296822194889,0.4231334952632897,0.04185571956570119,0.3952296822194889,branincurrin
4,0.07042057615419683,0.12977394939929798,0.04185571956570119,0.04185571956570119,-1.9759544073153965,-1.9759544073153965,-0.6575553012843174,-0.6575553012843174,False,0.0,0.0,0.0,qlognehvi,0.0,False,,0.0,0.0,11,9267f023-1133-43bc-87ac-c8dc212abade,gaussian,1.0,20,exact,multi_objective,learned,1e-06,"x0,x1",0.43708540178519006,0.04185571956570119,0.3952296822194889,1.664630168009358,0.3952296822194889,0.4161575420023395,0.04185571956570119,0.3952296822194889,branincurrin
5,0.9483284532917751,0.6218835927963828,0.04185571956570119,0.04185571956570119,0.08749877101183463,0.08749877101183463,0.7351961235675336,0.7351961235675336,False,0.0,0.0,0.0,qlognehvi,0.0,False,,0.0,0.0,11,9267f023-1133-43bc-87ac-c8dc212abade,gaussian,1.0,20,exact,multi_objective,learned,1e-06,"x0,x1",0.43708540178519006,0.04185571956570119,0.3952296822194889,2.0598598502288468,0.3952296822194889,0.41197197004576935,0.04185571956570119,0.3952296822194889,branincurrin
6,0.47785117287254475,0.9875445121269144,0.04185571956570119,0.04185571956570119,-1.6811480959476064,-1.6811480959476064,1.088129986291929,1.088129986291929,False,0.0,0.0,0.0,qlognehvi,0.7753178999992087,False,0.0,0.0,0.0,11,9267f023-1133-43bc-87ac-c8dc212abade,gaussian,1.0,20,exact,multi_objective,learned,1e-06,"x0,x1",0.43708540178519006,0.04185571956570119,0.3952296822194889,2.4550895324483357,0.3952296822194889,0.40918158874138927,0.04185571956570119,0.3952296822194889,branincurrin
7,1.0,0.9427843137794244,0.04185571956570119,0.04185571956570119,-1.3991432011032343,-1.3991432011032343,1.2862457002538767,1.2862457002538767,False,0.0,0.0,0.0,qlognehvi,0.7167475000023842,False,0.0,0.0,0.0,11,9267f023-1133-43bc-87ac-c8dc212abade,gaussian,1.0,20,exact,multi_objective,learned,1e-06,"x0,x1",0.43708540178519006,0.04185571956570119,0.3952296822194889,2.8503192146678247,0.3952296822194889,0.4071884592382607,0.04185571956570119,0.3952296822194889,branincurrin
8,0.7570337393570603,0.844805659398833,0.04185571956570119,0.04185571956570119,-1.9338545941500724,-1.9338545941500724,1.0857403417987137,1.0857403417987137,False,0.0,0.0,0.0,qlognehvi,0.8057486999896355,False,0.0,0.0,0.0,11,9267f023-1133-43bc-87ac-c8dc212abade,gaussian,1.0,20,exact,multi_objective,learned,1e-06,"x0,x1",0.43708540178519006,0.04185571956570119,0.3952296822194889,3.2455488968873136,0.3952296822194889,0.4056936121109142,0.04185571956570119,0.3952296822194889,branincurrin
9,0.02763062014779627,1.0,0.233556288451666,0.233556288451666,0.8681157993656353,0.8681157993656353,2.003039106537831,2.003039106537831,False,0.0,0.0,0.0,qlognehvi,0.8891388000338338,False,0.0,0.0,0.0,11,9267f023-1133-43bc-87ac-c8dc212abade,gaussian,1.0,20,exact,multi_objective,learned,1e-06,"x0,x1",0.43708540178519006,0.233556288451666,0.20352911333352405,3.4490780102208376,0.20352911333352405,0.38323089002453753,0.233556288451666,0.20352911333352405,branincurrin
10,0.0,0.8184008993049608,0.233556288451666,0.233556288451666,0.34071049010500604,0.34071049010500604,2.349848423864172,2.349848423864172,False,0.0,0.0,0.0,qlognehvi,0.9081786000169814,False,0.0,0.0,0.0,11,9267f023-1133-43bc-87ac-c8dc212abade,gaussian,1.0,20,exact,multi_objective,learned,1e-06,"x0,x1",0.43708540178519006,0.233556288451666,0.20352911333352405,3.6526071235543616,0.20352911333352405,0.36526071235543617,0.233556288451666,0.20352911333352405,branincurrin
