iteration,x0,x1,x2,x3,x4,x5,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,min_distance_redirect,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,547.2020515547704,-350.78182790502376,394.13386232943685,-420.8614523015757,15.36553972387776,-436.8964751753921,-0.8615395490477546,-0.8615395490477546,False,0.0,pi,0.0,False,False,10,51aee797-ae8b-4f93-a6ce-5a5c5c958403,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,-0.8615395490477546,3.6153953647067256,3.6153953647067256,3.6153953647067256,3.6153953647067256,-0.8615395490477546,3.6153953647067256,griewank
2,226.84377573735742,410.0972691747347,-89.38920311402808,548.3112041440395,390.3994876617579,-194.1416250341088,0.006360549547193837,0.006360549547193837,False,0.0,pi,0.0,False,False,10,51aee797-ae8b-4f93-a6ce-5a5c5c958403,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.006360549547193837,2.747495266111777,6.3628906308185025,2.747495266111777,3.1814453154092512,0.006360549547193837,2.747495266111777,griewank
3,90.91265753341634,303.96223765017237,392.52472442975454,520.1261650218976,-426.00636607652723,294.696253252725,-0.28063547255835886,-0.28063547255835886,False,0.0,pi,0.0,False,False,10,51aee797-ae8b-4f93-a6ce-5a5c5c958403,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.006360549547193837,3.0344912882173296,9.397381919035832,2.747495266111777,3.1324606396786105,0.006360549547193837,2.747495266111777,griewank
4,-432.7783273586132,487.83450733551217,-328.66267959056705,423.88769988672755,-232.41856136145145,563.796441847586,-1.3880249615002915,-1.3880249615002915,False,0.0,pi,0.0,False,False,10,51aee797-ae8b-4f93-a6ce-5a5c5c958403,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.006360549547193837,4.141880777159262,13.539262696195093,2.747495266111777,3.3848156740487734,0.006360549547193837,2.747495266111777,griewank
5,21.4010563402436,-213.0305294807264,-261.07977940238453,127.03799498361127,-199.482651936794,214.3785282097715,1.9146896549616432,1.9146896549616432,False,0.0,pi,0.0,False,False,10,51aee797-ae8b-4f93-a6ce-5a5c5c958403,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,1.9146896549616432,0.8391661606973275,14.378428856892421,0.8391661606973275,2.8756857713784845,1.9146896549616432,0.8391661606973275,griewank
6,-184.47198728924212,-146.5131224317263,-242.9095325653434,139.84774977704456,-150.07780255074903,354.0936879542487,1.6673252119597457,1.6673252119597457,False,0.0,pi,0.3028387000085786,False,True,10,51aee797-ae8b-4f93-a6ce-5a5c5c958403,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,1.9146896549616432,1.086530603699225,15.464959460591647,0.8391661606973275,2.5774932434319413,1.9146896549616432,0.8391661606973275,griewank
7,454.5999645512327,-288.8828482032815,-299.9421282126493,153.1274880235029,-125.42528820690745,109.47662623776137,1.0960784489479465,1.0960784489479465,False,0.0,pi,0.3753277999931015,False,True,10,51aee797-ae8b-4f93-a6ce-5a5c5c958403,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,1.9146896549616432,1.6577773667110243,17.12273682730267,0.8391661606973275,2.4461052610432388,1.9146896549616432,0.8391661606973275,griewank
8,28.667585596620484,-297.76356821815386,-313.2278789718883,128.06590175953693,-344.82840264995957,273.1150272291111,1.2267253885023266,1.2267253885023266,False,0.0,pi,0.2783410000265576,False,True,10,51aee797-ae8b-4f93-a6ce-5a5c5c958403,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,1.9146896549616432,1.5271304271566442,18.649867254459316,0.8391661606973275,2.3312334068074145,1.9146896549616432,0.8391661606973275,griewank
9,47.401379539227605,-176.29409671467056,-64.93201698142798,290.7052758967635,-360.4984610414675,158.54652756027144,1.6835782483902417,1.6835782483902417,False,0.0,pi,0.3371811999822967,False,True,10,51aee797-ae8b-4f93-a6ce-5a5c5c958403,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,1.9146896549616432,1.070277567268729,19.720144821728045,0.8391661606973275,2.1911272024142274,1.9146896549616432,0.8391661606973275,griewank
10,-154.9592406852027,-183.60565757522062,-529.0458691515485,94.96063220325811,148.33392340277464,273.90242214289424,1.0503262924123684,1.0503262924123684,False,0.0,pi,0.47251469996990636,False,True,10,51aee797-ae8b-4f93-a6ce-5a5c5c958403,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,1.9146896549616432,1.7035295232466023,21.423674344974646,0.8391661606973275,2.142367434497465,1.9146896549616432,0.8391661606973275,griewank
11,-71.38441966857863,-183.84879467784015,-186.3520562843807,-99.98428916701948,207.0212976461669,149.54231873164872,2.172548726492855,2.172548726492855,False,0.0,pi,0.4674964000005275,False,True,10,51aee797-ae8b-4f93-a6ce-5a5c5c958403,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.172548726492855,0.5813070891661156,22.004981434140763,0.5813070891661156,2.0004528576491603,2.172548726492855,0.5813070891661156,griewank
12,-194.67628419066244,-50.90128459964092,-264.3432970247,102.16504707269883,68.53666012053304,-113.70456067398658,2.21190451813387,2.21190451813387,False,0.0,pi,0.45840649999445304,False,True,10,51aee797-ae8b-4f93-a6ce-5a5c5c958403,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.21190451813387,0.5419512975251006,22.546932731665862,0.5419512975251006,1.878911060972155,2.21190451813387,0.5419512975251006,griewank
13,-107.89299153634808,-111.94193995708022,-228.23394208534359,-8.749960021018977,158.1511992420394,-13.836023536979589,2.3523435086018907,2.3523435086018907,False,0.0,pi,0.5033444999717176,False,False,10,51aee797-ae8b-4f93-a6ce-5a5c5c958403,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.3523435086018907,0.4015123070570801,22.94844503872294,0.4015123070570801,1.7652650029786878,2.3523435086018907,0.4015123070570801,griewank
14,77.20384118041568,-143.26149860660354,-306.7731804384255,-332.31555243741303,88.98673361122212,-1.2300633820266285,1.8293683487100285,1.8293683487100285,False,0.0,pi,0.4465706000337377,False,True,10,51aee797-ae8b-4f93-a6ce-5a5c5c958403,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.3523435086018907,0.9244874669489422,23.872932505671884,0.4015123070570801,1.7052094646908489,2.3523435086018907,0.4015123070570801,griewank
