iteration,x0,x1,x2,x3,x4,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,min_distance_redirect,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,2.7339685059847834,0.9010628369925916,1.8948457972282609,2.4426953628177106,2.2496147957845927,0.595848047753563,0.595848047753563,False,0.0,pi,0.0,False,False,9,edb0458e-01a1-485e-a5d1-18db01513d98,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.595848047753563,7.451873118935415,7.451873118935415,7.451873118935415,7.451873118935415,0.595848047753563,7.451873118935415,michalewicz
2,2.8757514617751183,2.703006367468264,2.8847285896693013,0.08352783127899953,1.3736551050036934,0.19303114101745533,0.19303114101745533,False,0.0,pi,0.0,False,False,9,edb0458e-01a1-485e-a5d1-18db01513d98,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.595848047753563,7.854690025671523,15.306563144606939,7.451873118935415,7.653281572303469,0.595848047753563,7.451873118935415,michalewicz
3,1.5234975350318947,0.20468794780846922,0.017674759483104676,2.6094742043030985,3.089135106907805,-1.0527126446734347,-1.0527126446734347,False,0.0,pi,0.0,False,False,9,edb0458e-01a1-485e-a5d1-18db01513d98,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.595848047753563,9.100433811362413,24.40699695596935,7.451873118935415,8.135665651989784,0.595848047753563,7.451873118935415,michalewicz
4,2.46492454909066,0.9914976055630428,2.215871184667501,0.939905061652722,2.327129991960237,1.006504808815746,1.006504808815746,False,0.0,pi,0.0,False,False,9,edb0458e-01a1-485e-a5d1-18db01513d98,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,7.041216357873232,31.448213313842583,7.041216357873232,7.862053328460646,1.006504808815746,7.041216357873232,michalewicz
5,0.8788518104233879,2.4585818703609696,3.1030790740952976,3.0983597811058523,2.7735945546061833,-1.0537215195984087,-1.0537215195984087,False,0.0,pi,0.0,False,False,9,edb0458e-01a1-485e-a5d1-18db01513d98,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,9.101442686287387,40.54965600012997,7.041216357873232,8.109931200025994,1.006504808815746,7.041216357873232,michalewicz
6,2.5135198260842047,0.6958649365008431,1.918370932153762,0.391473458034727,1.9007697402127566,-0.9001415059183915,-0.9001415059183915,False,0.0,pi,0.2613899999996647,False,True,9,edb0458e-01a1-485e-a5d1-18db01513d98,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,8.94786267260737,49.49751867273734,7.041216357873232,8.249586445456224,1.006504808815746,7.041216357873232,michalewicz
7,2.5393756780675822,0.43905085555527484,1.9251185402707476,0.9731439772632798,1.662587507190999,0.16870590682364858,0.16870590682364858,False,0.0,pi,0.3707958000013605,False,True,9,edb0458e-01a1-485e-a5d1-18db01513d98,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,7.87901525986533,57.37653393260267,7.041216357873232,8.196647704657524,1.006504808815746,7.041216357873232,michalewicz
8,1.9797711502764883,0.8250483273635334,2.5308331656026755,1.0610260470027122,2.846664140777125,0.9636196663319508,0.9636196663319508,False,0.0,pi,0.43127080000704154,False,True,9,edb0458e-01a1-485e-a5d1-18db01513d98,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,7.084101500357027,64.46063543295969,7.041216357873232,8.057579429119961,1.006504808815746,7.041216357873232,michalewicz
9,1.4584272229635882,1.4515352215797892,2.100330513425417,1.057360798288143,2.7347901707399918,1.5631741516333784,1.5631741516333784,False,0.0,pi,0.3895300999865867,False,True,9,edb0458e-01a1-485e-a5d1-18db01513d98,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.5631741516333784,6.4845470150556,70.94518244801529,6.4845470150556,7.882798049779477,1.5631741516333784,6.4845470150556,michalewicz
10,2.2037509293066426,1.7587822095693348,1.705951030682568,1.1082609060679305,2.426023584812878,2.6117305995283884,2.6117305995283884,False,0.0,pi,0.40750729996943846,False,True,9,edb0458e-01a1-485e-a5d1-18db01513d98,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.6117305995283884,5.43599056716059,76.38117301517588,5.43599056716059,7.638117301517587,2.6117305995283884,5.43599056716059,michalewicz
