iteration,x0,x1,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,ceiling_value,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,379.1351848653667,-218.2991778943433,-0.7589797958595326,-0.982944424446589,True,-0.22396462858705646,logei,0.0,False,1.27004464659307,9,f3223d2a-f377-4f74-9f18-7b30d407138a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",3.2050455310550587,-0.7589797958595326,3.9640253269145913,3.9640253269145913,3.9640253269145913,3.9640253269145913,-0.7589797958595326,3.9640253269145913,eggholder
2,105.62370565279934,284.1949009102631,0.9657300948112961,1.1544865195857104,True,0.18875642477441423,logei,0.0,False,1.27004464659307,9,f3223d2a-f377-4f74-9f18-7b30d407138a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",3.2050455310550587,0.9657300948112961,2.2393154362437624,6.203340763158353,2.2393154362437624,3.1016703815791766,0.9657300948112961,2.2393154362437624,eggholder
3,221.26042071405084,425.3492433822797,-1.4386092571271623,-0.7600743194434266,True,0.6785349376837356,logei,0.0,False,1.27004464659307,9,f3223d2a-f377-4f74-9f18-7b30d407138a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",3.2050455310550587,0.9657300948112961,4.643654788182221,10.846995551340575,2.2393154362437624,3.6156651837801914,0.9657300948112961,2.2393154362437624,eggholder
4,369.04309676327387,428.2753321459327,-0.13131650356244426,-0.5195025482663911,True,-0.3881860447039468,logei,0.0,False,1.27004464659307,9,f3223d2a-f377-4f74-9f18-7b30d407138a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",3.2050455310550587,0.9657300948112961,3.336362034617503,14.183357585958078,2.2393154362437624,3.5458393964895194,0.9657300948112961,2.2393154362437624,eggholder
5,-484.77415990518045,-64.25804786738308,-0.5776674838730664,-0.5995320163856598,True,-0.02186453251259335,logei,0.0,False,1.27004464659307,9,f3223d2a-f377-4f74-9f18-7b30d407138a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",3.2050455310550587,0.9657300948112961,3.782713014928125,17.9660706008862,2.2393154362437624,3.5932141201772403,0.9657300948112961,2.2393154362437624,eggholder
6,151.3857013502995,248.5461053167347,0.11888022287144483,-0.2906092255804386,True,-0.40948944845188345,logei,0.22197130002314225,False,1.27004464659307,9,f3223d2a-f377-4f74-9f18-7b30d407138a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",3.2050455310550587,0.9657300948112961,3.086165308183614,21.052235909069815,2.2393154362437624,3.508705984844969,0.9657300948112961,2.2393154362437624,eggholder
7,87.65622187913851,297.8179632143315,0.7712268097452517,0.7355889303494253,True,-0.03563787939582641,logei,0.24105660000350326,False,1.27004464659307,9,f3223d2a-f377-4f74-9f18-7b30d407138a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",3.2050455310550587,0.9657300948112961,2.433818721309807,23.48605463037962,2.2393154362437624,3.355150661482803,0.9657300948112961,2.2393154362437624,eggholder
8,107.36662680165966,-93.19957928662139,-0.13756543047800915,-0.29387910740284423,True,-0.15631367692483508,logei,0.2155122000258416,False,1.27004464659307,9,f3223d2a-f377-4f74-9f18-7b30d407138a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",3.2050455310550587,0.9657300948112961,3.342610961533068,26.82866559191269,2.2393154362437624,3.353583198989086,0.9657300948112961,2.2393154362437624,eggholder
9,109.51268911431657,385.27431775125683,-0.4104524841200512,-0.5684632192835615,True,-0.15801073516351027,logei,0.25767709995852783,False,1.27004464659307,9,f3223d2a-f377-4f74-9f18-7b30d407138a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",3.2050455310550587,0.9657300948112961,3.6154980151751097,30.4441636070878,2.2393154362437624,3.3826848452319775,0.9657300948112961,2.2393154362437624,eggholder
10,327.50467613342676,282.9905162998342,0.8331397325662334,0.8787111758986366,True,0.04557144333240315,logei,0.2791000999859534,False,1.27004464659307,9,f3223d2a-f377-4f74-9f18-7b30d407138a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",3.2050455310550587,0.9657300948112961,2.371905798488825,32.81606940557663,2.2393154362437624,3.281606940557663,0.9657300948112961,2.2393154362437624,eggholder
11,-145.9201650525652,281.1348067104631,-0.40956113280666157,-0.3340913565385898,True,0.07546977626807178,logei,0.21699169999919832,False,1.27004464659307,9,f3223d2a-f377-4f74-9f18-7b30d407138a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",3.2050455310550587,0.9657300948112961,3.6146066638617205,36.43067606943835,2.2393154362437624,3.3118796426762134,0.9657300948112961,2.2393154362437624,eggholder
12,183.01532121162322,283.6935833860177,0.8393594730741962,0.8074498650380268,True,-0.03190960803616938,logei,0.31246599997393787,False,1.27004464659307,9,f3223d2a-f377-4f74-9f18-7b30d407138a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",3.2050455310550587,0.9657300948112961,2.3656860579808625,38.79636212741921,2.2393154362437624,3.233030177284934,0.9657300948112961,2.2393154362437624,eggholder
13,214.84375950504142,290.99960583993624,0.14738983227992242,0.664514588753402,True,0.5171247564734796,logei,0.2995778000331484,False,1.27004464659307,9,f3223d2a-f377-4f74-9f18-7b30d407138a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",3.2050455310550587,0.9657300948112961,3.0576556987751364,41.854017826194344,2.2393154362437624,3.2195398327841804,0.9657300948112961,2.2393154362437624,eggholder
14,434.5455687943603,291.4490190532538,-1.6872599499803376,-2.0735242702512617,True,-0.38626432027092417,logei,0.30132660001982003,False,1.27004464659307,9,f3223d2a-f377-4f74-9f18-7b30d407138a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",3.2050455310550587,0.9657300948112961,4.892305481035397,46.746323307229744,2.2393154362437624,3.339023093373553,0.9657300948112961,2.2393154362437624,eggholder
15,289.50227465961945,271.51972400125254,-0.29104195225497387,-0.5968106930079407,True,-0.3057687407529668,logei,0.23562290001427755,False,1.27004464659307,9,f3223d2a-f377-4f74-9f18-7b30d407138a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",3.2050455310550587,0.9657300948112961,3.4960874833100326,50.24241079053978,2.2393154362437624,3.349494052702652,0.9657300948112961,2.2393154362437624,eggholder
16,121.96529098045774,301.310592416763,1.3853953269703012,0.9325473957952481,True,-0.45284793117505306,logei,0.34499429998686537,False,1.27004464659307,9,f3223d2a-f377-4f74-9f18-7b30d407138a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",3.2050455310550587,1.3853953269703012,1.8196502040847575,52.06206099462454,1.8196502040847575,3.2538788121640336,0.9657300948112961,2.2393154362437624,eggholder
17,347.03974558350126,306.0164031940095,-0.23360041908835957,-0.3030492521027649,True,-0.06944883301440533,logei,0.22625699994387105,False,1.27004464659307,9,f3223d2a-f377-4f74-9f18-7b30d407138a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",3.2050455310550587,1.3853953269703012,3.4386459501434183,55.500706944767956,1.8196502040847575,3.2647474673392916,0.9657300948112961,2.2393154362437624,eggholder
18,345.5062284913459,267.5035890937574,-0.8611379758356001,-0.6904353651921531,True,0.17070261064344705,logei,0.2703631999902427,False,1.27004464659307,9,f3223d2a-f377-4f74-9f18-7b30d407138a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",3.2050455310550587,1.3853953269703012,4.066183506890659,59.566890451658615,1.8196502040847575,3.309271691758812,0.9657300948112961,2.2393154362437624,eggholder
19,318.3584227891557,315.21607309239846,-0.5656253738981871,-0.719972388475288,True,-0.15434701457710087,logei,0.22873660002369434,False,1.27004464659307,9,f3223d2a-f377-4f74-9f18-7b30d407138a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",3.2050455310550587,1.3853953269703012,3.7706709049532456,63.33756135661186,1.8196502040847575,3.3335558608743083,0.9657300948112961,2.2393154362437624,eggholder
20,131.17412068392775,293.9480129316733,1.5058399559246063,1.27004464659307,True,-0.23579530933153636,logei,0.25292080000508577,False,1.27004464659307,9,f3223d2a-f377-4f74-9f18-7b30d407138a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",3.2050455310550587,1.5058399559246063,1.6992055751304525,65.0367669317423,1.6992055751304525,3.2518383465871152,1.5058399559246063,1.6992055751304525,eggholder
21,130.24233189421903,293.21056572113736,1.4903298206361386,1.27004464659307,True,-0.2202851740430687,logei,0.26312769996002316,False,1.27004464659307,9,f3223d2a-f377-4f74-9f18-7b30d407138a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",3.2050455310550587,1.5058399559246063,1.7147157104189201,66.75148264216122,1.6992055751304525,3.178642030579106,1.5058399559246063,1.6992055751304525,eggholder
22,135.55549659362276,287.90320924009995,1.494630017212874,1.27004464659307,True,-0.224585370619804,logei,0.2600855999626219,False,1.27004464659307,9,f3223d2a-f377-4f74-9f18-7b30d407138a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",3.2050455310550587,1.5058399559246063,1.7104155138421848,68.4618981560034,1.6992055751304525,3.1119044616365183,1.5058399559246063,1.6992055751304525,eggholder
