iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,min_distance_redirect,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.12857020276919962,0.49927786244011496,0.6014983576233575,0.028689008371944547,-1.4784245481883667,-1.4784245481883667,False,0.0,pi,0.0,False,False,11,47cf6026-7576-461d-bd6f-30bd252411a8,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,-1.4784245481883667,3.6317298309089825,3.6317298309089825,3.6317298309089825,3.6317298309089825,-1.4784245481883667,3.6317298309089825,weber_fechner
2,0.14792608457745593,0.9282110229603695,0.07042057615419683,0.12977394939929798,-1.4798016825771119,-1.4798016825771119,False,0.0,pi,0.0,False,False,11,47cf6026-7576-461d-bd6f-30bd252411a8,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,-1.4784245481883667,3.6331069652977277,7.26483679620671,3.6317298309089825,3.632418398103355,-1.4784245481883667,3.6317298309089825,weber_fechner
3,0.9483284532917751,0.6218835927963828,0.368993123729791,0.5113900218032627,0.9326175632329612,0.9326175632329612,False,0.0,pi,0.0,False,False,11,47cf6026-7576-461d-bd6f-30bd252411a8,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,0.9326175632329612,1.2206877194876546,8.485524515694365,1.2206877194876546,2.8285081718981218,0.9326175632329612,1.2206877194876546,weber_fechner
4,0.6628429525167993,0.2753088157611293,0.13796807286695534,0.7880395945039919,-0.006314421514643501,-0.006314421514643501,False,0.0,pi,0.0,False,False,11,47cf6026-7576-461d-bd6f-30bd252411a8,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,0.9326175632329612,2.159619704235259,10.645144219929625,1.2206877194876546,2.6612860549824062,0.9326175632329612,1.2206877194876546,weber_fechner
5,0.6703605841024838,0.5123823134831604,0.8167364359696581,0.5490752688700263,1.1114563109305982,1.1114563109305982,False,0.0,pi,0.0,False,False,11,47cf6026-7576-461d-bd6f-30bd252411a8,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,1.1114563109305982,1.0418489717900177,11.686993191719642,1.0418489717900177,2.3373986383439282,1.1114563109305982,1.0418489717900177,weber_fechner
6,0.7049574140297195,0.5162166217916546,1.0,0.5477100817407158,1.255195346969293,1.255195346969293,False,0.0,pi,0.33880900003714487,False,False,11,47cf6026-7576-461d-bd6f-30bd252411a8,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,1.255195346969293,0.8981099357513229,12.585103127470965,0.8981099357513229,2.0975171879118277,1.255195346969293,0.8981099357513229,weber_fechner
7,0.8734241759758222,0.5445948075928737,1.0,0.5439164409774311,1.4003982458909672,1.4003982458909672,False,0.0,pi,0.38609320000978187,False,False,11,47cf6026-7576-461d-bd6f-30bd252411a8,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,1.4003982458909672,0.7529070368296487,13.338010164300615,0.7529070368296487,1.9054300234715165,1.4003982458909672,0.7529070368296487,weber_fechner
8,1.0,0.5695988390863138,1.0,0.5435494266682892,1.5004817372731394,1.5004817372731394,False,0.0,pi,0.38713580003241077,False,False,11,47cf6026-7576-461d-bd6f-30bd252411a8,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,1.5004817372731394,0.6528235454474764,13.990833709748092,0.6528235454474764,1.7488542137185115,1.5004817372731394,0.6528235454474764,weber_fechner
9,0.8312362258730372,0.769330327247332,0.9117899975884313,0.6113033614787221,1.5779960426453323,1.5779960426453323,False,0.0,pi,0.3723149000434205,False,True,11,47cf6026-7576-461d-bd6f-30bd252411a8,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,1.5779960426453323,0.5753092400752835,14.566142949823375,0.5753092400752835,1.6184603277581529,1.5779960426453323,0.5753092400752835,weber_fechner
10,1.0,0.8341068631757801,1.0,0.6065383696332969,1.7734758632398202,1.7734758632398202,False,0.0,pi,0.5199378000106663,False,False,11,47cf6026-7576-461d-bd6f-30bd252411a8,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,1.7734758632398202,0.3798294194807956,14.94597236930417,0.3798294194807956,1.494597236930417,1.7734758632398202,0.3798294194807956,weber_fechner
