iteration,x0,x1,x2,x3,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,3.269722766055607,9.872768433379255,3.1871083848551676,7.88548935820029,-0.7451783695735681,-0.7451783695735681,-0.7451783695735681,0.0,False,False,0.0,logei,0.0,False,8,17e06d54-33ca-484d-b0c6-a259aaad26af,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,-0.7451783695735681,6.14801613424393,6.14801613424393,6.14801613424393,6.14801613424393,-0.7451783695735681,6.14801613424393,hicks_law
2,8.69896511696216,3.9108480653919395,4.378818731227988,3.7274890308935307,-0.45245897907849875,-0.45245897907849875,-0.45245897907849875,0.0,False,False,0.0,logei,0.0,False,8,17e06d54-33ca-484d-b0c6-a259aaad26af,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,-0.45245897907849875,5.855296743748861,12.00331287799279,5.855296743748861,6.001656438996395,-0.45245897907849875,5.855296743748861,hicks_law
3,1.0695359647277436,4.789654541627169,2.413521450846823,2.5714524855112977,1.2921019029701162,1.2921019029701162,1.2921019029701162,0.0,False,False,0.0,logei,0.0,False,8,17e06d54-33ca-484d-b0c6-a259aaad26af,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,1.2921019029701162,4.110735861700245,16.114048739693036,4.110735861700245,5.371349579897679,1.2921019029701162,4.110735861700245,hicks_law
4,1.847315568344149,1.938645489043107,8.13827670155021,4.229841881442264,0.4615077489425049,0.4615077489425049,0.4615077489425049,0.0,False,False,0.0,logei,0.0,False,8,17e06d54-33ca-484d-b0c6-a259aaad26af,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,1.2921019029701162,4.941330015727857,21.055378755420893,4.110735861700245,5.263844688855223,1.2921019029701162,4.110735861700245,hicks_law
5,2.5592050515822606,5.909028517654116,6.042722960584558,6.468580270601879,-0.5066769243475129,-0.5066769243475129,-0.5066769243475129,0.0,False,False,0.0,logei,0.0,False,8,17e06d54-33ca-484d-b0c6-a259aaad26af,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,1.2921019029701162,5.9095146890178745,26.96489344443877,4.110735861700245,5.392978688887753,1.2921019029701162,4.110735861700245,hicks_law
6,0.018422878255222434,3.020677165880582,2.5407511103398814,0.9353532421913046,2.6527866890214264,2.6527866890214264,2.6527866890214264,0.0,False,False,0.0,logei,0.2814407999976538,False,8,17e06d54-33ca-484d-b0c6-a259aaad26af,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,2.6527866890214264,2.750051075648935,29.714944520087705,2.750051075648935,4.952490753347951,2.6527866890214264,2.750051075648935,hicks_law
7,0.0,0.0,9.323522952911567,0.0,3.4774794853683733,3.4774794853683733,3.4774794853683733,0.0,False,False,0.0,logei,0.3465077000000747,False,8,17e06d54-33ca-484d-b0c6-a259aaad26af,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,3.4774794853683733,1.9253582793019883,31.640302799389694,1.9253582793019883,4.52004325705567,3.4774794853683733,1.9253582793019883,hicks_law
8,0.0,10.0,10.0,0.0,1.4474248714720572,1.4474248714720572,1.4474248714720572,0.0,False,False,0.0,logei,0.30252199999813456,False,8,17e06d54-33ca-484d-b0c6-a259aaad26af,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,3.4774794853683733,3.9554128931983046,35.595715692588,1.9253582793019883,4.4494644615735,3.4774794853683733,1.9253582793019883,hicks_law
9,0.0,0.0,0.0,0.0,5.402837764670362,5.402837764670362,5.402837764670362,0.0,False,False,0.0,logei,0.24793849998968653,False,8,17e06d54-33ca-484d-b0c6-a259aaad26af,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,0.0,35.595715692588,0.0,3.955079521398667,5.402837764670362,0.0,hicks_law
10,3.0695436301274186,0.0,0.0,0.0,4.245250914568959,4.245250914568959,4.245250914568959,0.0,False,False,0.0,logei,0.22150419998797588,False,8,17e06d54-33ca-484d-b0c6-a259aaad26af,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,1.1575868501014028,36.753302542689404,0.0,3.6753302542689403,5.402837764670362,0.0,hicks_law
