iteration,x0,x1,x2,x3,x4,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,rater_id,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,3.0033679477896715,0.6524516488288785,2.6026363654825047,0.4689836211867622,1.6110232157240438,-1.0005901198454061,-0.9902767591363053,True,0.010313360709100827,qnei,0.0,False,0,10,89112bf6-2a1e-4050-b34e-7243e115f2d3,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,-1.0005901198454061,9.048311286534384,9.048311286534384,9.048311286534384,9.048311286534384,-1.0005901198454061,9.048311286534384,michalewicz
2,0.4270040294696573,2.1646719429357737,2.644428466875382,1.3367759402838328,3.0062717024781365,-0.9041066659867205,-0.9860817086861713,True,-0.08197504269945077,qnei,0.0,False,0,10,89112bf6-2a1e-4050-b34e-7243e115f2d3,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,-0.9041066659867205,8.951827832675699,18.000139119210083,8.951827832675699,9.000069559605041,-0.9041066659867205,8.951827832675699,michalewicz
3,2.5928597954643946,1.0625347409922794,1.8088051076493177,2.3665676041036434,2.598423652312292,-0.4821873194693632,-0.4534515104179024,True,0.028735809051460837,qnei,0.0,False,0,10,89112bf6-2a1e-4050-b34e-7243e115f2d3,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,-0.4821873194693632,8.529908486158341,26.530047605368424,8.529908486158341,8.843349201789474,-0.4821873194693632,8.529908486158341,michalewicz
4,2.9324834426054185,0.45551426842114484,2.3423093136775615,0.43778531524264847,2.847944080472264,-0.9783677662708578,-0.5158549452801169,True,0.46251282099074087,qnei,0.0,False,0,10,89112bf6-2a1e-4050-b34e-7243e115f2d3,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,-0.4821873194693632,9.026088932959835,35.55613653832826,8.529908486158341,8.889034134582065,-0.4821873194693632,8.529908486158341,michalewicz
5,0.7103594437025119,2.680531730054245,0.9623259560190263,3.0468119599852646,1.6268241612762053,-0.1892230366634753,-0.027807580844096402,True,0.1614154558193789,qnei,0.0,False,0,10,89112bf6-2a1e-4050-b34e-7243e115f2d3,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,-0.1892230366634753,8.236944203352454,43.79308074168071,8.236944203352454,8.758616148336142,-0.1892230366634753,8.236944203352454,michalewicz
6,1.1930334185776958,2.5521638046879254,0.3297861122359579,3.141592653589793,1.731948380780822,0.8273806896408685,0.6952912091762047,True,-0.13208948046466384,qnei,0.6974617000087164,False,0,10,89112bf6-2a1e-4050-b34e-7243e115f2d3,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,0.8273806896408685,7.22034047704811,51.01342121872882,7.22034047704811,8.502236869788137,0.8273806896408685,7.22034047704811,michalewicz
7,2.0716423568953903,2.231989568964346,0.0,3.141592653589793,2.0017863567315786,0.06287027756283378,0.16929725873506618,True,0.1064269811722324,qnei,1.1511917000170797,False,0,10,89112bf6-2a1e-4050-b34e-7243e115f2d3,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,0.8273806896408685,7.984850889126145,58.998272107854966,7.22034047704811,8.428324586836423,0.8273806896408685,7.22034047704811,michalewicz
8,0.9197235822089523,2.7454463794878246,0.0,3.141592653589793,1.5536127986924035,-0.35805450195519906,-0.05162761234001112,True,0.30642688961518794,qnei,0.8762898000422865,False,0,10,89112bf6-2a1e-4050-b34e-7243e115f2d3,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,0.8273806896408685,8.405775668644177,67.40404777649914,7.22034047704811,8.425505972062393,0.8273806896408685,7.22034047704811,michalewicz
9,2.7334326699150413,1.8467376800740425,0.4123640791537324,3.141592653589793,2.350494241471341,-1.0134369332554094,-0.7168189460127612,True,0.2966179872426482,qnei,1.0143968000193126,False,0,10,89112bf6-2a1e-4050-b34e-7243e115f2d3,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,0.8273806896408685,9.061158099944388,76.46520587644353,7.22034047704811,8.496133986271504,0.8273806896408685,7.22034047704811,michalewicz
10,1.4059220397211225,2.4571023700401,0.29954467597128825,3.141592653589793,1.8337070481358966,-1.0306344973675994,-0.700824181669967,True,0.3298103156976324,qnei,1.250968299980741,False,0,10,89112bf6-2a1e-4050-b34e-7243e115f2d3,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,0.8273806896408685,9.078355664056577,85.54356154050011,7.22034047704811,8.55435615405001,0.8273806896408685,7.22034047704811,michalewicz
