iteration,x0,x1,x2,x3,x4,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,missing,imputed_value,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,3.0033679477896715,0.6524516488288785,2.6026363654825047,0.4689836211867622,1.6110232157240438,-1.0005901198454061,,-1.0005901198454061,0.0,False,True,,logei,0.0,False,True,,10,c49b1c40-59cf-456a-a3d2-27c502c0921a,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,-1.0005901198454061,9.048311286534384,9.048311286534384,9.048311286534384,9.048311286534384,-1.0005901198454061,9.048311286534384,michalewicz
2,0.4270040294696573,2.1646719429357737,2.644428466875382,1.3367759402838328,3.0062717024781365,-0.9041066659867205,,-0.9041066659867205,0.0,False,True,,logei,0.0,False,True,,10,c49b1c40-59cf-456a-a3d2-27c502c0921a,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,-0.9041066659867205,8.951827832675699,18.000139119210083,8.951827832675699,9.000069559605041,-1.0005901198454061,9.048311286534384,michalewicz
3,2.5928597954643946,1.0625347409922794,1.8088051076493177,2.3665676041036434,2.598423652312292,-0.4821873194693632,-0.4821873194693632,-0.4821873194693632,0.0,False,True,0.0,logei,0.0,False,False,,10,c49b1c40-59cf-456a-a3d2-27c502c0921a,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,-0.4821873194693632,8.529908486158341,26.530047605368424,8.529908486158341,8.843349201789474,-0.4821873194693632,8.529908486158341,michalewicz
4,2.9324834426054185,0.45551426842114484,2.3423093136775615,0.43778531524264847,2.847944080472264,-0.9783677662708578,-0.9783677662708578,-0.9783677662708578,0.0,False,True,0.0,logei,0.0,False,False,,10,c49b1c40-59cf-456a-a3d2-27c502c0921a,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,-0.4821873194693632,9.026088932959835,35.55613653832826,8.529908486158341,8.889034134582065,-0.4821873194693632,8.529908486158341,michalewicz
5,0.7103594437025119,2.680531730054245,0.9623259560190263,3.0468119599852646,1.6268241612762053,-0.1892230366634753,-0.1892230366634753,-0.1892230366634753,0.0,False,True,0.0,logei,0.0,False,False,,10,c49b1c40-59cf-456a-a3d2-27c502c0921a,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,-0.1892230366634753,8.236944203352454,43.79308074168071,8.236944203352454,8.758616148336142,-0.1892230366634753,8.236944203352454,michalewicz
6,2.160905424273797,2.7033379282898378,0.08042840923712224,3.141592653589793,2.0764713901496594,1.243009126189446,1.243009126189446,1.243009126189446,0.0,False,True,0.0,logei,0.36586399999214336,False,False,,10,c49b1c40-59cf-456a-a3d2-27c502c0921a,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.243009126189446,6.804712040499532,50.59779278218024,6.804712040499532,8.432965463696707,1.243009126189446,6.804712040499532,michalewicz
7,2.661064388557882,3.141592653589793,0.0,3.141592653589793,1.5902440725251545,-1.0371739534308955,-1.0371739534308955,-1.0371739534308955,0.0,False,True,0.0,logei,0.31486559996847063,False,False,,10,c49b1c40-59cf-456a-a3d2-27c502c0921a,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.243009126189446,9.084895120119874,59.68268790230012,6.804712040499532,8.52609827175716,1.243009126189446,6.804712040499532,michalewicz
8,1.3533351315106406,2.5955755448038142,0.24866200855330514,3.141592653589793,2.166209686997535,-0.5458522342479911,-0.5458522342479911,-0.5458522342479911,0.0,False,True,0.0,logei,0.4922489000018686,False,False,,10,c49b1c40-59cf-456a-a3d2-27c502c0921a,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.243009126189446,8.59357340093697,68.27626130323709,6.804712040499532,8.534532662904637,1.243009126189446,6.804712040499532,michalewicz
9,2.0432349808733763,2.532119551146222,0.1318209932279406,3.1273446946981673,2.2430928913542596,1.116810645284053,1.116810645284053,1.116810645284053,0.0,False,True,0.0,logei,0.46093360002851114,False,False,,10,c49b1c40-59cf-456a-a3d2-27c502c0921a,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.243009126189446,6.930910521404925,75.20717182464202,6.804712040499532,8.356352424960225,1.243009126189446,6.804712040499532,michalewicz
10,2.1239594090965257,2.4539151454338253,1.5514928720293408,3.141592653589793,1.289851612523808,0.3285046164930811,0.3285046164930811,0.3285046164930811,0.0,False,True,0.0,logei,0.6586919999681413,False,False,,10,c49b1c40-59cf-456a-a3d2-27c502c0921a,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.243009126189446,7.719216550195897,82.92638837483791,6.804712040499532,8.292638837483791,1.243009126189446,6.804712040499532,michalewicz
11,2.155880189886101,3.141592653589793,0.0,3.141592653589793,2.8891964875334604,0.4350758608476004,0.4350758608476004,0.4350758608476004,0.0,False,True,0.0,logei,0.466247399977874,False,False,,10,c49b1c40-59cf-456a-a3d2-27c502c0921a,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.243009126189446,7.612645305841378,90.5390336806793,6.804712040499532,8.230821243698118,1.243009126189446,6.804712040499532,michalewicz
12,2.1142693001332473,2.6048019548516943,0.0,2.1031294465146284,1.984382592040152,0.4838097117610191,0.4838097117610191,0.4838097117610191,0.0,False,True,0.0,logei,0.36520880000898615,False,False,,10,c49b1c40-59cf-456a-a3d2-27c502c0921a,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.243009126189446,7.563911454927959,98.10294513560726,6.804712040499532,8.17524542796727,1.243009126189446,6.804712040499532,michalewicz
13,2.152272491817681,1.7568906871978254,0.0,3.141592653589793,2.082251944084314,0.8114031339679384,0.8114031339679384,0.8114031339679384,0.0,False,True,0.0,logei,0.40327150002121925,False,False,,10,c49b1c40-59cf-456a-a3d2-27c502c0921a,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.243009126189446,7.23631803272104,105.3392631683283,6.804712040499532,8.103020243717562,1.243009126189446,6.804712040499532,michalewicz
